Serial No.,College Name,Rating,Pros,Cons
253,Federal Institute of Science and Technology - [FISAT],4.1,"The computer science department at FISAT is the best. The course is completed on time, and you can do your projects there with the best assistance from CS faculties. | There is no stipend, but for financially backward students, they offer free-of-cost study. The very good and important thing is that the Computer Science department is the best in FISAT. | The computer science department at FISAT is the best. The course is completed on time, and you can do your projects there with the best assistance from CS faculties.","Girls are locked in like in a jail because they have no right to leave after 5pm. | Overall, the campus is bad because it provides limited opportunities for students, and the conducted training is of low quality."
254,Galgotias College of Engineering and Technology - [GCET],3.9,The fest conducted in out college is also very great also the infrastructure Aswell | The best thing about college is there events college lifeis awesome | The fest conducted in out college is also very great also the infrastructure Aswell,Attendence of 75 is said to be compulsory is the worst thing | Girls and boys ratio in civil and mechanichal branches is very bad
255,Global Academy of Technology - [GAT],3.8,"Course selection is based on the students choice of course, and it is beneficial to seek guidance from the college teachers who guide parents and students based on the students educational profile. | They all look forward to the students who are physically good and mentally perfect. It was perfect in our college. | Course selection is based on the students choice of course, and it is beneficial to seek guidance from the college teachers who guide parents and students based on the students educational profile.","Better, but not much good because the syllabus is outdated, and the methods of teaching and conducting examinations are not good; all of them are outdated. | I can tell that internships in college are very poor when compared to placements!"
256,HKBK Group of Institutions,3.5,"Before getting admission in this college, I had heard that civil is the best branch in this college. However, after I got admission, I experienced that mechanical is the best branch in our college because it has the best faculties. | The college also provides the opportunity for internships and projects. There are many things that you will learn in the internships. | Before getting admission in this college, I had heard that civil is the best branch in this college. However, after I got admission, I experienced that mechanical is the best branch in our college because it has the best faculties.","The evaluation of the university in the VTU university is very poor, and it is a challenging situation as the evaluation is not being conducted properly. This is a significant issue. | Scholarships and loans were not necessary for my studies as I was an average student throughout my academic career and did not plan to pursue education abroad."
257,Sri Vasavi Engineering College - [SVEC],4.0,Best library and dgital library and some best teacting faculty and good labs. | The adminstration is good and there response over any problem related to the student is excellent and the faculty is very nice with students and the placements are good and infrastructure is very good and courses here is excellent | Best library and dgital library and some best teacting faculty and good labs.,I hate the buses the mangement was too bad for one day one bus they will provide | I dont like the hostel food and the taste is bad
258,Uka Tarsadia University,4.2,The iOS lab are just brilliant they are well falicited with internet | I like the classes as it is nice and very good maintained | The iOS lab are just brilliant they are well falicited with internet,They have really bad lab assistants to assist students in laboratories. | Paper factory produce a smoke which is having really bad smell
259,AKS University - [AKSU],3.6,"My experience in AK University has been very good, all the faculty here are helpful, there is no ragging here at all. | Availability of library is a very good option for learning students | My experience in AK University has been very good, all the faculty here are helpful, there is no ragging here at all.","Toilets are in bad condition here, cleanliness is not done well. | Solage canteen is in bad condition, there is no good way to eat."
260,ITM University,4.0,It's wonderful that I am living this college life with my friend. | I like the campus and the environment Of the campus it is very nice and spacious i like the food court area which there is the sitting area also for the students and facilities as well . | It's wonderful that I am living this college life with my friend.,Timing of University is too bad it's 11 to 5 . | The behavior of the mess staff is so pathetic they dont even cook the foo
261,Jagannath University,4.0,"My college was one of the colleges that had highly experienced faculty and the best laboratory infrastructure in the city. | We have an opportunity to have an internship in a gene company, TCS, to gain a lot of knowledge and experience that will enhance our journey. | My college was one of the colleges that had highly experienced faculty and the best laboratory infrastructure in the city.","There is a $500 charge for the activity, but there has been no activity funded throughout the whole year. | There is no cleanliness in the hostel and the people are not helpful and always littering around"
262,Babu Banarasi Das University - [BBDU],4.0,The faculty of BCA is concerned to give best knowledge to us. | Locate in city is ...thi is very good advantage of this University | The faculty of BCA is concerned to give best knowledge to us.,Some teachers are quite annoying they'll jst try to show off | The I think I don't like about my college is timing I am very tired after spend time from 9 am to 5 pm
263,JIS College of Engineering - [JISCE],4.2,I have a very good experience in my college Our College has a best infrastructre among all the JIS group colleges in kolkata. | Mentors are also solving the problems and my mentor is very good she is know how to handle the problems | I have a very good experience in my college Our College has a best infrastructre among all the JIS group colleges in kolkata.,College washroom are very poor and some bench are brocken in classroom. | The hostel has very poor food conditions and water conditions .
264,Rayat Bahra University,3.5,"Rayat Bahra University has a good number of teachers, and their teaching method is quite impressive. | Most of the people here get internships via the college, and those who want to take up internships on their own, that is, off-campus internships, can also get them. | Rayat Bahra University has a good number of teachers, and their teaching method is quite impressive.","No, they provide concessions to students studying under schemes like SC, ST, OBC, girl child scheme, and others"
265,Amity University,3.9,"Good campus exposure, had a very great time in the campus. | Got some great friendships for the life and made a lots of memories with them in my college days. | Good campus exposure, had a very great time in the campus.",Worst food and experience with the mess facility that has been provided. | Timing of our course is like 9-5 so that makes us too tired
266,IILM University,3.7,"The Bachelor of Design in Product Design is a professional course with a duration of 4 years and follows a semester system. | Boat, Nestle, M3M, Godrej, IBIS hotel, and many more hire students for a summer internship after completing 1 year. | The Bachelor of Design in Product Design is a professional course with a duration of 4 years and follows a semester system.","You are not allowed to keep electronics in your room; if they find them, they will take them. | They are not helpful at all, and when they do 1 out of 10 things for which they are being paid, they feel so proud."
267,Cambridge Institute of Technology - [CiTech],4.1,"Good college in bengaluru east zone, campus life is excellent, qualified faculty, good placement etc | Good facilities are there in college and encourage the every students | Good college in bengaluru east zone, campus life is excellent, qualified faculty, good placement etc",I was little bit disappointed that it is in heavy populated area | There is no much good places for food and cafeteria .
268,RC Patel Institute of Technology - [RCPIT],3.9,"Ya...its good experiencing here. Practicals are nicely taken. RCPIT is one of the best colleges in Maharashtra. It has a very well-maintained infrastructure. | College doesnt provide internships, but they approach the students for internships. They encourage students to do internships and guide them on what to do or how to approach internships, etc. Additionally, many training and placement activities are also attended in the institute, such as aptitude tests or seminars. | Ya...its good experiencing here. Practicals are nicely taken. RCPIT is one of the best colleges in Maharashtra. It has a very well-maintained infrastructure.","I think they should now look up to it and provide internships to students. Yet, they force students to get internships for themselves as three internships are mandatory for each student"
269,St. Francis Institute of Technology - [SFIT],3.7,"I am from Mechanical, and I can proudly say that the Mechanical H.O.D and all the teachers are the best. | Internships are provided without any stipend, but they offer valuable learning opportunities as field experience enhances understanding of concepts. | I am from Mechanical, and I can proudly say that the Mechanical H.O.D and all the teachers are the best.","The college does not provide internships due to the structure of the Mumbai University syllabus, which does not allow for long internships. | Certainly, the top engineering colleges are not correct. The management, driven by brothers from Church, is not open towards college improvement in terms of teaching, placements, and infrastructure. Therefore, only consider this college if you have no better options and are desperate to pursue engineering from anywhere."
270,ICFAI University,4.0,Best faculty i have ever meet.They guide like a there children. | We can play any sports and place is very nice . | Best faculty i have ever meet.They guide like a there children.,The management team of icfai are poor and they need to improve on that | And the road of Icfai that are not good I thing we they make the road
271,Atharva College of Engineering,4.0,"It was an amazing experience at Atharva College with practical labs and classrooms, which are the best among top colleges. | Officially, there is no organization that provides internships. However, you will have the opportunity to work in numerous local startups, and you can easily secure an internship with a reputable company. | It was an amazing experience at Atharva College with practical labs and classrooms, which are the best among top colleges.","The exam structure is a little boring as it comes under Mumbai University, in which everything is theoretical and there is very little practical experience. There are a total of 8 semesters, including oral and practical exams. | Sorry to say, but Atharva College promised all the students placements, yet they failed to fulfill their promise."
272,Don Bosco Institute of Technology - [DBIT],4.1,"Instructors are well-educated and well-qualified. They keep guiding in everything. The teaching method is very good. | Our college tries its best to offer internships, but if one has good contacts with a company, that works best. If you can get your own internship offer, the college will back it too. | Instructors are well-educated and well-qualified. They keep guiding in everything. The teaching method is very good.","If you are even one percentage point less than 75%, that means you are a defaulter as well as in danger."
273,GNIOT Group of Institutions - [GNIOT],3.8,"There is no issue regarding fee and our campus is very good and well maintain. | Greenery, Dress code is the best i liked about my college. | There is no issue regarding fee and our campus is very good and well maintain.","Timings are very bad as if a person is living away from home and reaching at 7pm and than he is cooking so how can a person study | College management , students are tired with there managerial decision that is very poor."
274,Jeppiaar Engineering College,3.6,"BE Mechanical is the best course in engineering to get placed upon leaving the college. Teaching faculties and everyone were good to us. | The college internship program was really good, and Bosch company offered the program and a stipend of about 7000. | BE Mechanical is the best course in engineering to get placed upon leaving the college. Teaching faculties and everyone were good to us.","Somehow, each semester is theoretical and boring, consisting of labs, theory, and problem-solving papers. The first semester is not relevant to the course itself. Mathematics is somehow difficult, and there is poor management and publication of results. | There will be fewer job opportunities in my college. Only a few companies will come for placements, and only a few students will get job opportunities. Moreover, civil students will never get job opportunities; only students from the IT field will be selected."
275,Karpagam College of Engineering - [KCE],4.0,"Yeah, overall good with the course curriculum and faculty, but the course should be in a practical manner. | The project will be owned and updated. | Yeah, overall good with the course curriculum and faculty, but the course should be in a practical manner.","The hostel is the worst. We cant stay there; it will make us feel bad. Poor toilet facilities, drainage system that does not work properly, and water problems, including unhygienic drinking water, are all issues we have to deal with, along with the inconvenience of having to go a long distance for food"
276,KIET Group of Institutions - [KIET],4.0,Clubs:-having differental department for different activities is the best part to indulge in academical activities | Even during recession the placement cell is trying its best to get everyone placed | Clubs:-having differental department for different activities is the best part to indulge in academical activities,Day scholors cannot remain in the college after 5pm this is the worst thing | The sport facility is very bad and they do not provide sports eqipment
277,PES College of Engineering - [PESCOE],3.7,"Campus life | I liked green campus, gym, swimming pool in college | I liked class rooms, hostel, clubs in college",Nothing
278,Raghu Engineering College - [REC],4.0,"Yes,internship like pega academy has been established within our campus and it is very proud to say that our college is 13 among the colleges who are having pega university academy program(UPA) in INDIA.In hostel they are providing fee wi-fi network. | In college security is excellent and the labs and playground is also excellent to play. | Yes,internship like pega academy has been established within our campus and it is very proud to say that our college is 13 among the colleges who are having pega university academy program(UPA) in INDIA.In hostel they are providing fee wi-fi network.","College Ground was too worst , the maintanence was not good | Accommodation is somewhat poor and I hope it can be improved"
279,Symbiosis Institute of Technology - [SIT],4.2,"I chose computer science because it was easier for me, but the facilities are not up to the mark. Deepak sir, who is one of the data structure professors, is very good and meets the standards. | It is very good to have an internship so that we can gain good industrial exposure. This is how they work and what exactly the industries want from their employees. | I chose computer science because it was easier for me, but the facilities are not up to the mark. Deepak sir, who is one of the data structure professors, is very good and meets the standards.","Over the course of three years, everything has broken down, and honestly, I cant wait for this torture to be over."
280,Terna Engineering College Navi Mumbai,3.7,"Terna Engineering College is one of the best engineering colleges in Navi Mumbai, which is the reason why I chose this college. | We can do an internship anywhere we want. Our college assists us in getting the best internship opportunity with minimum efforts. | Terna Engineering College is one of the best engineering colleges in Navi Mumbai, which is the reason why I chose this college.",The course is outdated because the college is still affiliated with Mumbai University. The faculty-to-student ratio is 1:80. The faculty is highly qualified but lacks in delivering knowledge to students. Passing exams is not that difficult. | The Placement Cells must work a bit harder in order to obtain a few internship opportunities for the students.
281,Vivekanand Education Society Institute of Technology - [VESIT],4.0,"The course curriculum consists of 526 objects, depending on the semester. The subjects are helpful in our on-campus placement, as they are provided by Mumbai University, which is a really great university. | VESIT does not provide internships on its own, but there are a number of societies that can help you in obtaining internships throughout your course. | The course curriculum consists of 526 objects, depending on the semester. The subjects are helpful in our on-campus placement, as they are provided by Mumbai University, which is a really great university.","Depending on the branches, for Computers/iT and Instrumentation, it is good. However, for Electronics and EXTC, the placement is unsatisfactory. | There are scholarship facilities available at the college for students who are unable to pay the fees or are in a condition where they cannot afford it."
282,Sreenidhi Institute of Science and Technology - [SNIST],3.9,"Infrastructure, fests, tournaments which are conducted in our college in very good | The interaction between student and teacher is very good in SNIST | Infrastructure, fests, tournaments which are conducted in our college in very good",I hate the college Library because we have to maintain silence . | I hate the college security because whenever the bell rangs ...
283,Paavai Engineering College (Autonomous),3.9,Symposium was good conduct and celebrate the annual day was dicipline and compare to others college our college was great because of maintained dicipline and students obedience are good and this college was good | I like the love infrastructure in my college which is very good. | Symposium was good conduct and celebrate the annual day was dicipline and compare to others college our college was great because of maintained dicipline and students obedience are good and this college was good,Bus in our college is too bad condition that when raining water comes inside bus.
284,Assam Don Bosco University - [ADBU],3.7,"I like the cafeteria area the canteen is good | The faculty of the college are good and supportive. | The environment is too good for studies, Good facilities Smart boards, projectors, AC labs",The campus experience is not so good. The campus is very short. | The campus is not so big. The auditorium stage is very small and speakers are really really bad
285,RK University - [RKU],3.8,"If you want to study computer engineering or IT engineering, then this is the best college for you. However, you may have a problem with the hostel food because I also realized how RK Universitys hostel food is! | Every student gets the best internship opportunity with a minimum stipend of 8000, or as per their skills and experience. | If you want to study computer engineering or IT engineering, then this is the best college for you. However, you may have a problem with the hostel food because I also realized how RK Universitys hostel food is!","No, they would not provide internships exactly, but instead they would help in finding companies that would offer internships. The internships usually involved knowledge transition only, and no stipends were given for them. | Yes, there were programs offered by the college for scholarships to students who are not financially strong"
286,Baddi University of Emerging Sciences and Technologies - [BUEST],3.6,"Baddi University has good teachers and professors, and all of them are professionals in their respective areas. | I have no idea about the internship because I thought there is no internship facility in the college, but the placements are good for CSE and EE students. To clarify the task, you have to put your best effort into the work. | Baddi University has good teachers and professors, and all of them are professionals in their respective areas.","The stipend was not offered at all; in fact, we have to pay for those technical courses. | During my tenure, I only had call center placements. However, I have now come to know that it is better since the college has been turned into a deemed university."
287,Sai Nath University,4.0,College provide placement for students for all the courses | College follows the rules for all the students and staff | The campus life here is very good. All the classmates are seen while studying.,These college runs like a school with a lot of rules | Whenever I enter to the college it always feels like a police station
288,GITAM,3.9,Infrastructure and the locality where the college situated is very good. | I like the environment of the college and the amenities in this college is good. | Infrastructure and the locality where the college situated is very good.,Hostel food is bad here and the hostel fecility is bad | There is no proper management if any think goes wrong to compliant.
289,Yenepoya University,3.8,The faculty who is teaching are one if the best here | Technology was very good they provide a hughe lab for programming facilities | The faculty who is teaching are one if the best here,Strict of the hostel is very bad we are considering like a child | Nit giviving scholarship for rank holders in semester they ask pre- university marks
290,DAV University,4.0,"Their method of teaching is very effective in providing us with valuable guidelines. | Agriculture students do internships in many agriculture companies, such as sugar mills, pesticides, and herbicides companies. | Their method of teaching is very effective in providing us with valuable guidelines.","Because in other colleges, proper training is also being provided besides placements, which is lacking in our college"
291,Pacific University,3.8,"The course I chose is very good, based on practical learning, and the college facilities for practicals are good. | Yes, the internship they provide will be a very good experience, I think! | The course I chose is very good, based on practical learning, and the college facilities for practicals are good.","There is no scholarship in college, and it is too expensive for the middle class, so choose accordingly"
292,ICFAI University,4.2,"The course is designed very well, keeping in mind the competitive exams such as GATE, IES, etc., as well as interview purposes. | Many firms, such as Regan Association, hire students with good packages and provide good internships for future prospects. They also provide knowledge about legal research and practice, which improves personality growth and development. | The course is designed very well, keeping in mind the competitive exams such as GATE, IES, etc., as well as interview purposes.","It was an expensive course in a tall building with no campus, and the placements were poor, and the amenities were not sufficient to make it a good post-graduate college."
293,KCG College of Technology,3.9,First thing is about the nature of the college it was good to study at that environment and enjoy with friends. | The lab session was best to experience the hand on live classes it was such a grate experience. | First thing is about the nature of the college it was good to study at that environment and enjoy with friends.,We have to compromise in hostel food which is worst sometimes | Some of the faculties are not well experienced
294,Silicon Institute of Technology - [SIT],3.9,The course is not up to the best its just like grasping only things and it should must be mofidified to achieve the best productivity. | This year our college student made 26lpa and also one of the passes out of 2020 made 45lpa which is a great package and helps the students. | The course is not up to the best its just like grasping only things and it should must be mofidified to achieve the best productivity.,It was the worst experience none company came for the internship offer and we got null as stipended.
295,Birla Institute of Technology - [BIT],3.7,"The exam structure is excellent since it is organized by BIT Mesra, and the questions may come from any of the faculties created by its various campuses. | Multinational companies, as well as Indian companies like Wipro, Amazon, Flipkart, etc., have come with a good stipend. | The exam structure is excellent since it is organized by BIT Mesra, and the questions may come from any of the faculties created by its various campuses.","The course curriculum for CSE seems a bit outdated, but it is still tough enough to deal with. | Even for going to the market, there is a time restriction of 4 hours, so you cant even plan to watch a movie peacefully."
296,Birla Global University - [BGU],4.2,"I chose this course because I have always been interested in influencing people with good communication and solid facts. | Summer internship companies such as Ultratech cement, Axis bank, Britannia, Bajaj finery, HDFC bank, etc. The college provides internships, taking care of the best interest of the students selected for the internship program. | I chose this course because I have always been interested in influencing people with good communication and solid facts.","As of now, after completing my BBA, I will be preparing for CAT and pursuing an MBA. | The fee structure is very bad in our batch because, being the Covid batch, sitting at home and studying does not require giving 200000"
297,GITAM,4.1,The college environmental is very good which release from me in stress | The college life in this campus is good one can chill and study without any problems | The college environmental is very good which release from me in stress,Soemtiems the ac in the class doest work thats the only think we hate | Campus is far away from city thus making it difficult to go out.
298,Medi-Caps University,3.8,The teaching staff are very good and there teaching way is excellent | I like the infrastructure of our college which is best in indore if yoy want a good campud then come to medicaps amdbthat the point i aded . | The teaching staff are very good and there teaching way is excellent,"They have some students who got a group of peoples who try to solve problems but they are gansters of collges they beat up anyone whom they want and created the worst scenario like murder and all | Sometimes the water used for irrigation purpose in the gardens was sewage water, which had a very bad smell"
299,GNA University,3.9,"Then I enrolled myself in B.Com (honors). The overall departmental faculty is very talented and has proficiency in their respective subjects. | College provides internships mostly to those students who have excelled in their studies. The starting stipend is usually around 5-6k, and if you perform well, you may receive even more. Everything is based on your effort. | Then I enrolled myself in B.Com (honors). The overall departmental faculty is very talented and has proficiency in their respective subjects.","Before the course, they said there would be placements. However, for BBA, there were no placements. Even for MBA, there were very few placements, and those were only in the fields of insurance and sales, which are target-based jobs. | The fee structure of this university is not that expensive. The fees are feasible, and you can also pay them in installments."
300,Mahindra University,4.2,"we have many electives starting from the fifth semester, it gives us an opportunity to explore the branch and even other interests like media entrepreneurship and many others. | I have no idea about placements but placements going i think they will get good placements and good packages i think mahindra &mahindra company visited | we have many electives starting from the fifth semester, it gives us an opportunity to explore the branch and even other interests like media entrepreneurship and many others.",Laundry here is common for both office workers who live inside the campus as well as for students so it's a bit difficult as he never gives on time.
301,The Neotia University - [TNU],4.0,Swimming pool is also there where we can swim and it is very good exercise for our health. | Ground is very good and greeny what is very lovable to us | Swimming pool is also there where we can swim and it is very good exercise for our health.,"As the university is situated at the outskirts of the city so it sometimes becomes difficult for a student to travel. | Water purifier isn't maintained, now a days water quality is too poor to drink."
302,Starex University,4.3,"Universities courses are good ,both theoretical and practical learning are best in class there .our vice chancellor sir emphasis more on practical learning as he is well experienced to learn that what industries want in the students. | This university has a tie up with the nasscom who provides training to be the perfect ones for the it company. | Universities courses are good ,both theoretical and practical learning are best in class there .our vice chancellor sir emphasis more on practical learning as he is well experienced to learn that what industries want in the students.",no cons found
303,Institute of Engineering and Science - [IES],4.0,"I chose this course because of the best opportunities and placements in the CSE branch. | Many companies offer internships to students, and students create numerous significant projects for our college. | I chose this course because of the best opportunities and placements in the CSE branch.",Canteen
304,GIFT Autonomous,3.8,"Very good opportunities for students who are really willing to excel a good job. | Faculty behaviour: some of them are really supportive, but mostly can't say | Very good opportunities for students who are really willing to excel a good job.",The food of the hostel is not very good and they should think about shuffling the menu once in a while | No free time to the students and it is 8 to 5 class.
305,Parul University,4.0,"The environment of the college is the best part of Parul University | Campus life is very good The presence of best in-class infrastructure facilities, vigorous institute-industry collaborations | The environment of the college is the best part of Parul University",Things are dislike about Parul University is it has a worst management and faculties | There is no drinking water facility in the department as well as buildings and hostels which is very bad
306,Dr. C.V. Raman University - [CVRU],3.4,"Course circullum is good as a first year student for cv raman college of engineering were i took btech is good the course structure is very well. | The university has tie-ups with top mncs and industries as their placement partners, giving great job and placement opportunities to their students. | Course circullum is good as a first year student for cv raman college of engineering were i took btech is good the course structure is very well.","There had been placement from tech mahindra but providing salary as 10k per month and other companies like l&t .and the maximum salary is under 12k. | , no sort of internship.i don't think the college provides a platform for the internship from other colleges or for the students of other colleges."
307,Jigyasa University (Formerly Himgiri Zee University),4.0,"They will explain everything, and its up to you to be attentive in lectures. You will definitely get to go for internships, although they might not provide you with the best internship you would wish for, but itll be fine. | It is provided by the university in good firms by excellent architects of the city. | They will explain everything, and its up to you to be attentive in lectures. You will definitely get to go for internships, although they might not provide you with the best internship you would wish for, but itll be fine.","The colleges placement is the worst, but the way the faculties are placing students from their contacts is marvelous. The college calls companies for placement, and they only show up for one thing: marketing"
308,Jagran Lakecity University - [JLU],4.0,"The subjects are perfectly chosen for the course throughout the three years of the undergraduate structure. | There is a wide range of recommendations and links to the college that provide the best internship opportunities in companies such as Shoppers Stop, Axis Bank, etc. | The subjects are perfectly chosen for the course throughout the three years of the undergraduate structure.",High workload: Demanding coursework and long internship hours. - Limited flexibility: Strict attendance and uniform policies. - High costs: Tuition fees and living expenses.
309,ACS College of Engineering - [ACSCE],3.8,"The labs are well maintained, and the communication in the lab is sometimes great and sometimes hectic. | It has been an autonomous college that followed relative grading, but now it has changed back to absolute grading, easing the pressure on the students. | The labs are well maintained, and the communication in the lab is sometimes great and sometimes hectic.","Our college does not conduct any internships, but they do have tie-ups with other industries for internships. | The hostel facility is a bit expensive but its almost worth it. The hostel fee includes the mess fee, where we get enough food that is hygienic and tasty."
310,Adhiyamaan College of Engineering,4.0,Adhiyamaan College of engineering college is one of the best engineering colleges in the tamilnadu | The canteen services are very good where they provide good and well prepared hygienic foods | Adhiyamaan College of engineering college is one of the best engineering colleges in the tamilnadu,I disliked the persons that they are giving the bad review and opinions | The hostel is not good but management said that taken into their consideration
311,Ajay Kumar Garg Engineering College - [AKGEC],3.8,"Spread over 40 acre campus, AKGEC has excellent infrastructure with well-planned complexes for each department | The sports facilities are really impressive be it the basketball court, tennis court , badminton court. | Spread over 40 acre campus, AKGEC has excellent infrastructure with well-planned complexes for each department",Campus life is soo boring as they conduct no fest throughout the 4 year of college | No festivals take place is this college and the college life is boring
312,Atria Institute of Technology,3.6,"Engineering is good. After you do four years of this course, you can get into any company. | It provides, but I havent yet experienced it. They provide internships at the end of every semester. They provide you with the experience that you need for the best placement. | Engineering is good. After you do four years of this course, you can get into any company.","There is no internship opportunity for the students studying this course as the curriculum doesnt support it due to a very vast syllabus that must be completed. | Placements are not good for mechanical engineering and civil engineering. Even though there are no internships offered in our college, we have to go out and do internships. However, computer science and information science have placements."
313,Bhubaneswar Engineering College - [BEC],3.8,"For a candidate seeking admission to any of the courses, all faculty is very good. | If anybody is choosing this college for placement and job opportunities, then it will not be the best decision. | For a candidate seeking admission to any of the courses, all faculty is very good.",no cons found
314,College of Engineering Bhubaneswar - [COEB],3.4,"Teachers here are quite helpful to every student and also highly qualified in every section or department of the branch. | I did not receive any stipend during my college period, but my internship experience at my college was very good, and we learned lots of things from it. | According to fee structure the college rooms and teaching staffs are well maintained and educated just the systems of the computer labs need more improvements","That was the poorest part of our college; very few companies came to the college. | Ragging on campus is there. Extracurricular activities, labs, and the sports department were pathetic and funded by students only."
315,Guru Tegh Bahadur Institute of Technology - [GTBIT],3.7,"Library , society , canteen , labs and best thing is Gurudwara inside college. | Canteen food is great u get a ton of things in there and the quality is go. | Library , society , canteen , labs and best thing is Gurudwara inside college.",No AC in classrooms due to which its very tough ti study in summers | Infrastructure is worst buildings are very old and the furniture is very old and uncomfortable.
316,Krishna Engineering College - [KEC],3.9,Study enviroment of your college is among the best in ghaziabad | Student are from very good places and group work alse be done bery quitely | Study enviroment of your college is among the best in ghaziabad,"Sports facilities are very bad there are no indoor game facilities. | Campus Life is totally boring , there is not even single fest is organised except sport fest 2 month ago"
317,Meerut Institute of Engineering and Technology - [MIET],4.0,Environment is very good of Meerut institute of Engineering and Technology | We got a very good ambience and atmosphere to study there | Environment is very good of Meerut institute of Engineering and Technology,Campus is small and the infrastructure is quite boring and classes too | The canteen food is too bad .the quality of food and other thing are very bad
318,RNS Institute of Technology - [RNSIT],3.9,Teaching is very good and the faculty members help in resolving each issues of student. | Our college has quite a good environment surrounded by greenery and the best thing is it has a temple. | Teaching is very good and the faculty members help in resolving each issues of student.,Canteen food i dont like it cause when ever it i fall sick | Fashion team they are really mean everybody hates them never join fashion team it's really weird
319,Raj Kumar Goel Institute of Technology - [RKGIT],3.5,The study culture of our college is very good as our teacher are well educated. | The placement of the Rkgit college is very nice 34 lakh per year on campus | The study culture of our college is very good as our teacher are well educated.,Some faculty is very irritating because they don't solve my doubt | Fees must be lest than it is so that poor students can afford it.
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],3.8,Nothing to dislike in my college because it gives good memories and knowledge . | There is good lawn in Rajeev Gandhi memorial College of engineering. | Nothing to dislike in my college because it gives good memories and knowledge .,"Dress code is a little bit concern, students are allowed to wear only formals | The college timing are too long from 9:00 Am to 4:30 PM."
321,Rizvi College of Engineering - [RCOE],3.9,"More subjects and a different strategy need to be applied, such as the involvement of case studies and internships. | Yes, internships are provided to the students. Stipend is also provided to the students for the internships, and certificates for the internships are provided as well. These certificates can be mentioned in a resume, which would be great. | More subjects and a different strategy need to be applied, such as the involvement of case studies and internships.","Our seniors said that there were few companies that visited the college for placements, but very few were hired. | As the fees were very minimal compared to other private colleges that used to charge approximately 40000 for a year."
322,S.A. Engineering College,3.9,"One good thing about our staff was that they were the best and very friendly, both in teaching and outside the campus as well. | My internship at my company was good. I obtained more and more practical knowledge from internships and inplant training. | One good thing about our staff was that they were the best and very friendly, both in teaching and outside the campus as well.","If you fail, they would conduct coaching classes, which are completely a waste of time. | The office staff in the room is very unresponsive, which will irritate you to the core."
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],3.8,"Good Interaction between professors and students and also professors will help us during acedamics. | My college has good atmosphere with around 133acres of two cricket grounds,one basketball ground. | Good Interaction between professors and students and also professors will help us during acedamics.",Bad infrastructure of the campus and also the classrooms are very bad. | They use outdated computers and softwares which is not a good things for the students studying here.
324,St Martin's Engineering College - [SMEC],3.8,The campus life is the life which cannot be experienced if we miss it | The student and teacher interaction was very nice where the student can share all of his questions and solve them | The campus life is the life which cannot be experienced if we miss it,The SMEC campus should improve in hostel food the food is the worst | Some students have bad behaviour but we can complain about them to the faculty
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",3.8,This type of environment is wonderful where my friend teach me or we can say that my seniors teach me about subjects and personality knowledge. | The college provides excellent practical learning and students are getting involved in research initiatives taken by the college. | This type of environment is wonderful where my friend teach me or we can say that my seniors teach me about subjects and personality knowledge.,There is no campus life at skit so it can be very boring sometimes | Attendance criteria for students is very difficult to achieve as the students want to focus on Placements
326,Arka Jain University,4.0,Campus life is very beautiful and all course are completed on time | Campus placement is very good my seniors have all got placed in any company | Campus life is very beautiful and all course are completed on time,The Road is too bad as the 2.5 KM inside the forest area have bad roads. | 3 km road of this collage is in very poor condition
327,Maharishi Markandeshwar - [MMU],4.2,The weather here is very good and nice to live in | The faculty here in college is really very well educated and they provide latest type of study materials | There are not much extracurriculars but in academics there’s no compromise,The fees is really expensive considering other courses
328,Nitte University - [NITTE],4.0,Sports and cultures are very good and helps students in extracurricular activities | We got the best faculty and teachers are so good to us | Sports and cultures are very good and helps students in extracurricular activities,There are lots of stray drops which are inside the campus which are very annoying | Time scheduled sometimes is boring and management are sometimes very bad
329,MIT Academy of Engineering - [MITAOE],3.8,Campus of college is very attractive and lots of trees are there | Courses are good and well organized as point of view of placements. | Campus of college is very attractive and lots of trees are there,The teaching staff is quite biased that they takes wrong decisions | Small campus area is one the thing that could be thing you might fall short for.
330,Vivekananda Global University - [VGU],4.2,The CODE department which is best for the students having interest in the designing and modelling. | Campus life is best and all faculty members are coperative and help always in study and all | The CODE department which is best for the students having interest in the designing and modelling.,Some students behaviour are very bad .so it is not hood | Hostels are to bad and they have the worst review from me
331,Shri Ramswaroop Memorial University - [SRMU],4.1,Library of the University is excellent for the students to read | Placements are said to be good as there is a very good amount of chance for your placement | Library of the University is excellent for the students to read,Buses are the worst as the fees for every place is fixed that is 30k and the condition of buses are worse | The college sorroundings are not up to mark like no malls complex etc.
