Serial No.,College Name,Question,Answer
158,JECRC University - [JU],Is it worth joining JECRC University for a B.Tech?,"One of my friends shared her experience of studying at JECRC College made me realize that JECRC University is much better than JECRC College. They have a highly experienced faculty, Good infrastructure, an updated curriculum, Better Placement facilities, Higher salary package, etc. which are considered to be far better than JECRC College. 
The comparison table given here will help you choose the right college for your career ahead - 
Category
JECRC University 
JECRC College
Recruiting Companies
TCS, Accenture, Capgemini, Wipro 
Godrej, Taj Group, Nokia Siemens Ltd, Huawei Telecom 
Course fee (1st-year)
1 Lakh
INR 84,000
Average CTC
4.5 LPA
2 LPA
Highest CTC
41 LPA
8 LPA
JECRC University offers 70 courses. JEE Main, CAT, MAT, XAT, GATE and CLAT scores are accepted in JECRC. You can take any one exam to enrol at the university.
While JECRC offers 9 courses. It admits students on a merit basis and on its entrance exam score. JEE, JET, CLAT scores are also accepted by JECRC. Therefore, you can choose the JECRC University, which provides wide exposure, skilled faculty and placement."
158,JECRC University - [JU],"Which one is better, JECRC or JECRC University?","In terms of placement, CGC Landran has a greater edge in terms of the number of companies visiting and packages offered. CGC Landran is considered to have the best placement process among all colleges affiliated with PTU.
The table below gives a brief overview of the placement of the two institutes.
Particulars CGC Landran JECRC Foundation
Highest Package offered 35 LPA 12 LPA
Average Package offered 3.25-3.5 LPA 3-4 LPA
Placement 90% (approx) 85% (approx)
There is a list of some companies that have visited CGC Landran in recent years for placement.
Microsoft
Wipro
Dell
L&T
Infosys
Cognizant
Tech Mahindra
Unisys
John Deere
Mu Sigma
MRF
Tata technologies
Apar Industries
Happay
Cheema Boilers
Think and Learn
V Parmar Wind Power Ltd.
Jamna Auto Industries Pvt. Ltd.
Godrej
Hero Moto Corp.
Everyday
Aptara Corp.
Surya Wires
Schindlers Pvt. Ltd.
Royal Enfield (M.Tech)
Other than these, many start-ups visit and provide low-medium packages per annum. For CS & IT, the placement percentage for CGC Landran is close to 90. An average of 3-4 LPA is offered to students in CS & IT."
159,Birla Institute of Technology and Science - [BITS],No data found,No data found
160,NIST University,No data found,No data found
161,Silicon University,Which is better: Silicon Institute of Technology or KIIT? Why?,"UIT Burdwan is not a good choice when compared to Silicon Institute of Technology. You should avoid going there. The following are the points to be considered.
UIT Burdwan is Government funded and affiliated with Burdwan University. But the intake of 60 undergraduate students is low.
It accepts only WBJEE ranks for admission.
The placement in UIT Burdwan is also poor. It offers limited internship opportunities for the students.
A few of the top recruiters in CSE include TCS, Infotech, Infosys, IBM, L&T, and more.
The placement statistics are below.
Lowest Salary INR 2.4 LPA
Average Salary INR 4 LPA
Highest Salary INR 8.5 LPA
Placement Percentage 50%
UIT Burdwan is not the best place to get admission. The curriculum is old, so college life seems like a time killer. However, if inclined towards CSE or IT branch, look for colleges in Bangalore. It is the Silicon Valley of India and a hub for major IT companies."
161,Silicon University,"Considering all aspects, which is better, VSSUT Burla vs SIT Bhubaneswar?","LNCT is one of Madhya Pradesh's best private institutes. I have a few friends from the institute and according to them, the CSE course offered is great. 
The well-trained faculty members strive to provide students with a high-quality education. The institute is synonymous with quality because of its world-class facilities, excellent infrastructure, well-equipped laboratories and libraries, and student-friendly campus.
The training and placement cell works closely with students and the administration to assist them to seek jobs in the companies of their preference. WIPRO, Cognizant, Amdocs, Infosys, and many others are among the major league companies. According to the recent placement highlights the average CTC offered at LNCT Bhopal is around 3-8 LPA. 
With good facilities and decent placement records, LNCT Bhopal is definitely a good choice for doing your CSE degree."
162,Centurion University of Technology and Management - [CUTM],No data found,No data found
163,Sanskriti University - [SU],Is Sanskriti University approved by AICTE?,"AICTE is approved by the Institutions and University Grants Commission (UGC) approved for any university. 
Sanskrit University is a University and because of which there is no need of AICTE approval, but the university is approved under UGC part 1 and part 2 as well as the university is accredited to all its regulatory body of the courses. 
For example programs like law are accredited to Bar Council of India, Pharmacy is accredited to Pharmacy Council of India, B.Sc. Agriculture is accredited to ICAR, etc. 
Sanskriti University is approved in all, you can check it on the official websites of the authorised bodies.
Therefore, Sanskriti University is approved by all the accrediting bodies and authorities.
Universities do not need any affiliation to AICTE; it is the accrediting body for the institutes. The university should be approved from the University Grants Commission which is mandatory for a registered University. Sanskrit University is approved under UGC."
163,Sanskriti University - [SU],How is Sanskriti University?,"One of my friends studied at Sanskriti University, according to her it is an average institution with very few facilities available for students.
The placement here is mediocre. Very few students get job opportunities through on-campus placements.
The college does not provide enough facilities, there is no AC in the campus buildings and the mess food is not up to the mark.
The faculty members are not well experienced in their fields and very few of them are permanent professors.
The management staff is not at all cooperative.
The labs are not updated with new machines or softwares, keeping them behind from the emerging and upcoming industry trends and events.
The academic curriculum is also not updated.
The library lacks good books and other study materials.
Overall, it is a very mediocre college with average facilities, so it is suggested that you look for other options and not settle with only this in mind."
163,Sanskriti University - [SU],Is Sanskriti University good for a B.Tech?,"Yes, Sanskriti University is one of the best engineering colleges in Northern India. It is very much popular among students for its B.Tech course.
Placements: 
About 95% of the students got selected through placements. 
The highest salary package offered was 4 LPA. 
The training and placement cell is responsible for every student to get placed in good reputed companies.
Infrastructure: 
The institute was awarded the best engineering institutions in UP as well as northern India. 
They have a huge library and a cafeteria. 
The entire campus is enabled with high-speed internet connectivity through Wi-Fi.
Faculty: 
Teachers are helpful and supportive. 
They are highly experienced in their dedicated fields. 
They make sure that the students are industry-ready, and with the help of the knowledge provided.
 Therefore, Sanskriti University is a really good option for pursuing a B.Tech degree."
164,Adamas University,What is some information about Adamas University?,"From the options given above, none of them are good. UEM Kolkata does not have good management at all. You will not find any good labs here. As far as ADAMAS is concerned, there is not much information available about it but my friends have said that is not that good either.
My suggestion to you would be to opt for computer science at either of these colleges. This is because pursuing core streams from either of these colleges will be of no help to you at all. 
If you end up doing CSE, you can secure a job at a top MNC or IT firm. Due to the demand of CSE and IT graduates nowadays, there are more chances to get a job here, than in any core industry.
Categories
ME at UEM Kolkata
ME at Adamas
Course Fee
5.81 lakh
6.44 lakh
Highest CTC
40 LPA
10 LPA
Average CTC
4.2 LPA
6 LPA
If you are looking for good labs at these colleges for core subjects, they will not be available to you. As a student, you will not be satisfied with this and the faculty is not that good either. You can opt for computer science engineering or eventually just go for Honors."
165,Ganpat University - [GUNI],How is Ganpat University in Gujarat?,"I have a few friends who attend Ganpat University (ICT), Gujarat. According to them, the institute offers decent academics. The campus life at the institute is also enjoyable. However, if you are looking for decent placement opportunities, don’t join the institute. The placement cell of the institute isn’t effective in offering good placement offers. If you are looking for decent academics only you can choose the institute."
165,Ganpat University - [GUNI],How are the placements for computer graduates of Ganpat University?,"Ganpat University Mehsana offers a decent Megatronics course. As compared to other colleges in Gujarat, it has better labs and infrastructural facilities for the Mechanical and Mechatronics departments. 
But Ganpat University placement scenario is not that good. There is almost little to no placement for the Mechatronics branch. Although many companies come to the institute for placements, most prefer Mechanical students over Mechatronics students."
166,CEPT University,How good is CEPT University?,"CEPT University is an old and reputed university. It ranks among the top universities for architecture. It has great faculty and environment. The culture on the campus is quite friendly. You can easily approach the faculties. 
The campus is huge and well-equipped with up-to-date facilities and teaching methodology. The staff and student union on campus are also quite co-opearative."
166,CEPT University,Which college is better - SPA Delhi or CEPT university?,"SVNIT is theoretical research-based while CEPT is more practice-oriented. If you are interested in pursuing a Ph.D. further or if you would like to get placed on-campus, then SVNIT is your place.
After matching your requirements focus on excelling at GATE to get structural engineering getting into structural engineering at SVNIT.
If you choose CEPT then you will have to work hard to get a job. It is well known in all of Asia and has one of the best civil engineers. The faculty is highly qualified, its alumni are working in MNCs and most of them get annual trips abroad.
Lastly, if you are not from Ahmedabad you will have to stay at the CEPT hostel which is an awesome place to stay, as you will see for yourself if you so choose to be.
Be mindful of the fees because both SVNIT and Nirma charge more about the quality they provide."
167,Birla Institute of Technology and Science - [BITS],No data found,No data found
168,Mahatma Gandhi Institute of Technology - [MGIT],Which is the better college: MGIT or BVRIT?,"Every college is unique and different in its own way. I think it’s a bad idea to make a comparison among colleges. The college in which you study does not matter much if you are passionate about pursuing your interests and goals. Every college has its own way of standing out.
Some of the pros of CVR are:
CVR’s infrastructure is well up to the mark. Every department has the required number of labs, including computer labs as well. CVR also boasts of Apple labs.
Through technical and cultural fests, hackathons, competitions, contests, and projects students are given multiple opportunities to show their talents and prowess. They can also be effective learning experiences.
CVR boasts of amazing placements too. The placement office expects manners, the attitude of learning, and sincerity. The placement training officer of the college will try everything to get you placed.
The CVR is an autonomous college and is affiliated with JNTU. The schedule is informed in the beginning of the session. You will appear for two midterms before appearing for the final exams every semester.
Apart from the academics, there are clubs for management, techno-management, art, music etc. So, if you are curious, you can obviously check out some of these fields. The alumni are very helpful so they will always be available for any assistance."
168,Mahatma Gandhi Institute of Technology - [MGIT],"Which is better: GRIET, CVR, MGIT?","MJCET is affiliated to Osmania University , Hyderabad and approved by AICTE, New Delhi. MJCET is recognized among the top 5 Engineering colleges in Hyderabad. They have a faculty strength of 130 members.
MGIT is a private institute set by Chaitanya Bharathi Educational Society and is approved by NAAC and AICTE. They offer ECE in both BTech and MTech degrees.
GRIET in Hyderabad is affiliated to Jawaharlal Nehru Technological University, Hyderabad. It is ranked 172nd for BTech by NIRF 2020 and ranked 29th for BTech by TOI 2020.
Tabulated below is a brief overview of both institutions:
Categories
MJCET
MGIT
GRIET
Course Fee
85,000 (1st year)
87,900 (1st year)
1,22,000 (1st year)
Entrance Exams
JEE-Main, TS EAMCET, GATE, 
AP EAMCET, TS EAMCET, TS PGECET, GATE, ECET
EAMCET, GATE, PGECET
Admission Key Highlights - 
Students should have 50% in their 10+2 qualifying exam.
Physics, Chemistry and Mathematics is compulsory.
The application fee is INR 500.
70% of the seats are allotted to students selected through the entrance exams.
30% of the seats are reserved for Management or NRI candidates.
Placements:
Categories
MJCET
MGIT
GRIET
Placement Percentage
70%
75%
60%
Highest CTC
15-16 LPA
8 LPA
48 LPA
Average CTC
4 LPA
3.33 LPA
12 LPA
MJCET Recruiting Companies - Hitachi, Wipro, Infosys, TCS, Accenture, L&T, Convergys, HSBC, Redpine Signals, etc.
MGIT Recruiting Companies - Voonik, Accenture, Deloitte, HP, IBM, Essar Steels, Tech Aspect, L&T, Dell, Birla Software, Virtusa, Qualcore Logic, Sierra Atlantic, SQL Software, SSA Global, etc.
GRIET Recruiting Companies - Microsoft, Capgemini, Byjus, Deoitte, TCS, Adobe, Byju’s, Ivy Comptech, DBS, Moschip, Cedge, MagikMinds, MAQ Software, Hexagon, Bosch, IBM, Genpact, HCL, etc.
ECE graduate students work as Business Development Associates, Digital Marketing Associates, Software Developers, Software Engineers, Data Scientist, Consultants, Product Developers, etc.
The placement record is more or less similar in all the colleges. If fees are your primary concern then you can opt for MJCET or MJIT. Both their ECE departments are very popular and more than 201 students got placed in the recent years at MJCET. Around 130 companies took part in the placement process."
169,Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],No data found,No data found
170,RKDF University,No data found,No data found
171,SunRise University - [SRU],Why doesn't TCS recruit Sunrise University students?,"Sunrise University is situated around 20 km away from Alwar Junction Railway Station.
If you want to head from Gurgaon, the most convenient way to reach will be to go by own vehicle. It will take about 90 min by drive. It is approximately 150km via roadways.
Other ways to reach would be via Railways. Trains are easily available from the Gurgaon railway station. There are a lot of trains available. You may not get tickets in urgency and have to book tickets beforehand. The best train to travel will be Jaipur Double Decker. Alwar would be the next stop from Gurgaon.
Another way to reach would be via Buses. Various buses are available for Alwar from Iffco Chowk. The buses are Haryana Roadways and RSTC buses.
You can also reach via public transport or book a taxi from Alwar railway station and Alwar ISBT.
You should avoid taking private buses as they take a lot of time to reach."
172,Uttaranchal University,What is your review of Uttaranchal University?,"Some of my friends attended Uttaranchal University. Their experience at the institute has been good. 
According to my friends, the infrastructure of UU is quite good. The faculty members are well-qualified and supportive of the students. The environment on campus is great for studies. Although UU has strict rules and regulations regarding attendance."
172,Uttaranchal University,How is Uttaranchal University?,"Uttaranchal University is an average university at best. However, infrastructure wise it is one of the best universities in Uttarakhand. The university has a huge green campus. It also has a huge library. However, if you want decent academics, it will be better to not opt for this university. The student crowd is average. There are also no placement opportunities available."
172,Uttaranchal University,Which is better for Btech CS Uttaranchal University or Graphic Era Dehradun?,"It is a great option for LLB, BALLB, BBALLB. In fact, it is considered one of the topmost universities in Uttarakhand state. It has a good infrastructure. The law faculty of the institute is also quite decent. Uttaranchal University LLB fees are quite affordable. It will cost you around 2.98 lakhs for the 3 years long LLB course."
172,Uttaranchal University,Is Uttaranchal University good for a BSc agriculture?,"The university offers good academics to students who want to learn. The faculty base is decent. In 2021, Uttaranchal University NIRF ranking was 150 for engineering. The placement opportunities offered by the university are decent. According to the recent placement highlights, the average and highest CTC offered by the university are 4.20 LPA and 22.50 LPA, respectively."
172,Uttaranchal University,"From where should I get my BSc agriculture degree, BFIT or Uttaranchal University?","It is a decent university. Whether or not you should join the university, that depends on the course that you are choosing. It is a great option for courses in Law. Uttaranchal University fee structure is also affordable. But if you are planning on pursuing engineering, the university can be a bit costly."
173,OPJS University,No data found,No data found
174,"PDM University, Bahadurgarh",Which college will be better for pursuing a BA LLB among Inmantec University PDM University and Geeta Institute of Law?,"The Geeta Institute of Law can be a good place for pursuing BA LLB. If your wish is to study law for five years and that also in a private university, then you can opt for Symbiosis or Amity as they promise good exposure and experience.
The fee for pursuing BA LLB at PDM University is INR 67,000 and the admission is determined on the basis of an entrance exam. The career opportunities that you will get are positions of a Solicitor General, Public Prosecutor, teaching in colleges, working with NGOs, or working as a reporter for TV channels and/or newspapers, etc."
174,"PDM University, Bahadurgarh",How is agriculture at PDM University?,"PDM University is not recognized by the ICAR but the university has started a new course for undergraduate students which is meant for the development of new technologies in agriculture.
PDM University has developed agricultural farms of their own for the purpose of providing experience in agricultural production to its students. 
The wide experience of the faculty members helps in training the students in the development of newer methods of cultivation in crops and food as well as the production of dairy products.
Categories Agriculture at PDM University
Course Fee 5.12 lakh
Course Duration 4 years
Average CTC 5-6 LPA
Recruiting Companies Agri-Tech, etc.
Apart from these, the faculty makes sure the students get the knowledge of marketing, development, storage, and the preservation of seeds."
174,"PDM University, Bahadurgarh",Is PDM University Bahadurgarh good for a bachelor's of physiotherapy course?,"Before making a decision, make sure you do inquiries with the officials and faculty of the university. Getting in touch with the alumni is also a good idea.
The Bachelor of Physiotherapy is a four-year undergraduate program with six months of clinical internship which is mandatory for the students. It is very practical in its orientation. 
It offers specialized studies in physiotherapy, health and behavioral sciences, professional development, and the compulsory units that are in the Core Curriculum.
The career opportunities that will come your way after successful completion of the course are healthcare management, industrial rehabilitation, research and academics, MNCs for the fitness of employees, etc."
175,Centurion University of Technology and Management - [CUTM],No data found,No data found
176,RKDF University,No data found,No data found
177,MLR Institute of Technology - [MLRIT],No data found,No data found
178,BML Munjal University - [BMU],What is your review of BML Munjal University?,"BML Munjal University offers good infrastructure, facilities, and placements. 
The program offered by the university is uniquely designed. The curriculum has a perfect balance between theoretical and practical learning. The course work also offers understanding of different disciplines. The traditional courses are restructured with new-age skills and technologies. The courses are multidisciplinary. A B.Com(Hons) student can specialize in Blockchain technology. Law aspirants can study BBA LLB (Hons) if they want to. This unique academic structure offers several career opportunities to students. 
Through practice school, Munjal University helps students implement their classroom learning into practice. Students do practical work in groups or individually under the guidance of industry experts and faculty mentors. 
The university has tie-ups with several industries for internships. KPMG is one of the companies that has a tie-up with BML Munjal University.
The university offers all necessary help to prepare students for placements. The placements for last few years have been promising. During 2022 placement drive, the average CTC for BML Munjal stood around INR 8.66 LPA. 
Overall, it is a great university with a unique curriculum and a good placement record."
179,Shoolini University,How is shoolini university?,"Shoolini University has good placement records especially for the B.Com (Hons) and MBA degrees offered by the School of Business Management and Liberal Arts. Some of the companies that offered jobs to the students of this school are
Hindustan Unilever
ICICI Bank
Bank of America
LG
HDFC Bank
Yes Bank
Airtel
Reliance Jio
Oberoi Group
Genpact
Apart from that, the various biotech programs offered by the School of Biotechnology and the pharmacy programs offered by the School of Pharmaceutical Sciences are also pretty good.
Talking of the engineering departments, then apart from Mechanical Engineering and a little bit of CSE, the placements are average to not so good. Except for a few good companies, there are hardly any good quality placements. The packages are low and the jobs offered are also not core engineering.
Except for management, biotech and pharmacy all other placements are not good. The faculty at these departments are also better than other departments. The university website claims 100% placements for the students with the highest package being 15 LPA for the year 2020."
179,Shoolini University,How is the placement of Shoolini University?,"My cousin did his B.Tech from Shoolini University. Here are his insights. 
They mainly focus on these few branches - MBA, B.Com, BIOTECH.
The management system is not good at all and you will see an increase in certain charges every semester.
Regarding the faculty, the aforementioned branches have the best faculty in the university, and in other remaining branches don’t have that good faculty. 
The labs don’t have adequate equipment. University has old technique machines and also not have some major lab that some engineer is looking for like material science lab for a mechanical engineer.
The students face so many problems for placement and internship programs. Only 40% of students are placed, that's not even half.
The fees are very expensive as compared to the level of facilities they provide and in comparison to other universities /colleges in the same category. 
Therefore, if you are looking for a good college for pursuing B.Tech, Shoolini University might not be a great choice. Apart from focused branches, cleanliness, natural environment, and friendly peers, there is not much to mention about the institute."
179,Shoolini University,Is Shoolini University of Biotechnology & Management Sciences a good choice for a B. Tech in Biotechnology?,"For an MBA, Shoolini University is one of the best educational institutes in Northern India. It offers good academics. The course structure includes various personality development programs. The faculties and the management staffs are co-operative. Shoolini University placement highlights show the average CTC to be around INR 6.5 LPA. Times of India, ICICI Prudential, HDFC, etc. are among the major recruiters for the institute."
180,Banasthali Vidyapith,What is your review of Banasthali University?,"My sister chose to pursue her graduation and post-graduation from Banasthali Vidyapith. She enjoyed all of the benefits of staying on campus, such as participating in extracurricular activities, being autonomous, and so on. 
Check the following points for a brief review of Banasthali University:
In terms of academics, Banasthali University has a lot to offer. It is a strong contender in many of them - computer science, MBA, Home Science, Literature and Language, Social Sciences, Mathematics, and so on. 
It also has adequate sports facilities, but they can be improved. Banasthali University does not have separate coaches for many sports.
The only thing that would bother you is the strength of the classrooms. At times, it will be completely unacceptable
Banasthali VIdyapith fee structure is also inexpensive, despite any financial difficulties, you can easily cover the costs of most of the courses.
Overall, Banasthali University offers a wonderful experience. Despite its flaws as an institution, it has many characteristics that make it wonderful and valuable."
181,Amity University,Is Amity University Jaipur good for an MBA?,"Amity University Jaipur is one of the top-ranked private universities in India offering more than 70 programs in the area of Science, Commerce, and Arts. Its main aim is to provide a world-class education in modern as well as traditional teaching methods so that the students can explore their skills around the world.
Infrastructure 
The university is very good at infrastructure having all facilities such as;
Sufficient space for indoors games (table tennis,) and outdoors games( cricket, volleyball, basketball, etc.)
Free Wi-Fi network 
Departmental store, cafeteria, ATM, medical store, and many more.
Faculty 
More than 850 faculty members are for all the Departments. They are highly experienced with efficient skills as per their field of study. 
Academics
They not only provide theoretical but practical knowledge as well. The University facilitates internship and training programs with many research experts to enhance their skills. The library consists of 40,000 books and 17,000 online journals and has 650 publications.
Hostel 
The University has a total of 5 hostels for boys and girls, one is for girls, and the remaining are for boys. All the rooms are non-AC and two seated with Wi-Fi. The hostel fee is quite high, approximately 60,000 per year.
Placement
Every year many companies like Wipro, Infosys, Dell, Byjus, Cohr, Wolfe, news18, etc. visit and recruit talented students who are really deserving. They offer an average salary package 3-3.5 LPA And highest up to 10 lakh. Almost every student gets placed.
The graphical representation shown above is just to give the level of excellence at infrastructure, faculty, academics, hostel, and placement."
181,Amity University,"How good is Amity University, Jaipur?","One of my friends is currently residing in Jaipur and he recommends RNB Global University, Bikaner for higher education.
Though the quality of education at Amity University Jaipur is not so high and placements are very poor, he took admission to RNB Global University. It has one of the finest infrastructure and rendering world-class facilities one can see on the campus.
The faculty is highly qualified with Ph.D. degrees from top universities around the world. The interaction level between faculty and students is also very high. There's communication both ways, which is a key aspect.
It is situated on a 300-acre campus in the city of Bikaner and assures an all-around development of the students with various student-led activities, cross-college electives for students, and regular visits by eminent personalities with a lot of guest lectures."
182,CMR University - [CMRU],How is CMR University?,"CMR University does not have good reviews. I have a few friends at the institute and the institute has not lived up to their expectations. 
The whole college gives you lazy vibes and the faculty members are mostly not available. Instead of taking classes, they will ask you to write essays on random topics just for the sake of attendance.
The infrastructure is also not up-to-date. You won’t find the books you need at the library. 
There are no extracurricular activities, fests, or any events. My friend changed institute after 6 months, once he got to know the institute keeps the original documents for the entire period of the degree.
My friend wanted to pursue a triple major in Psychology, Literature, and Journalism. He was told it is a good option by the counselor and placement officer. But just within a week, he was informed that Journalism is just a side subject. 
Here’s a statistical insight of the institute.
Highest CTC
18 LPA
Major Recruiters 
State Street, Urban Ladder, EY, Amazon, HP, TCS, etc. 
Fee Range
75,000-2.25 lakhs
Comparably it is better to pursue a degree from Mumbai University, the quality of education there will be similar to that of CMR University but the course fee is a lot less. It will be better if you reach out to the alumni and the current students of the university to know the real scenario and make a decision based on that."
182,CMR University - [CMRU],"Which is better for B.Tech. CSE: Presidency University, Bangalore or CMR University, Bangalore or Christ University Faculty of Engineering, Bangalore?","As the question is specific about the CSE branch, Acharya Institute of Technology ( AIT ) would be a better option compared to CMR University in regard to placements. AIT was established a lot earlier than CMR University and functions as an autonomous body, while AIT is affiliated to VTU and ACITE norms.
Affiliation:
Being a newly established and Autonomous institute CMR wouldn’t compete against AIT when it comes to placements and campus opportunities.
AIT is not the only college with VTU affiliation, but also the Dayanand Sagar Academy of Technology and Management (DSTAM). What makes DSTAM standout among these three is the number of placements it offers each year. With consistent placement records ever since its establishment, DSTAM has grown a lot during the past few years in terms of its reputation.
Admission:
To be eligible for admission to Acharya Institute of Technology, one must appear in CET conducted by the Institute. The final selection will be based on the marks obtained in the entrance examination.
Dayanand Sagar also conducts a Common Entrance Test for admission in B.E. programs. Students must have obtained at least 45% marks in their intermediate examination with PCM.
Placements:
The average package of AIT would hover around 3.2 LPA where DSTAM would go up to 3.5- 4 LPA.
Many top IT companies and few product-based software companies visit the DSTAM campus for recruitments each year.
Pre-final year students of the colleges receive a lot of support from Alumni network inform of internship and job offers in their startups.
Fee Structure:
Speaking of affordability both CMR and DSTAM cots much less than AIT, the former being just around 1 lakh per year, and the later is nearly 3 lakh per year.
The fee need to be paid for AIT for the four-year degree is almost 12 lakhs.
We can say that both AIT and DSTAM would be good and compelling options to opt for when looking for computer science admission. To add further the campus of DSTAM is right in the heart of the city.
So, to conclude if placements are of high priority ( which of course should be for CSE ), then Dayanand Sagar is a clear choice, but if the fee structure doesn’t match your comfort then AIT should be the immediate choice."
183,Bangalore Institute of Technology - [BIT],How good is Bangalore Institute of Technology?,"Bangalore Institute of Technology) is a well-regarded institution, and it offers courses in various specialisation. Several aspects of pursuing a degree from an accredited university like Bangalore Institute of Technology are as follows:
Courses offered: 
Bangalore Institute of Technology is known for its quality education and rigorous academic programs. 
It offers PG courses to students across Sports Management, General Management, and various other streams. 
It offers various undergraduate engineering courses such as Civil engineering, Mechanical engineering, Computer Science & Engineering, and many more. 
It also offers many post-graduate courses in MBA and M. Tech.
Academic excellence: 
The Week ranked Bangalore Institute of Technology 53rd out of 131 colleges in India for B. Tech programs in 2023. This reflects the academic excellence of infrastructural facilities as well as the faculty strength of this institution.
Placement: 
The college offers students strong placement opportunities. Most students are assigned to the CSE and ISE branches. 
The highest package offered was INR 45 LPA. The average package offered is 7 LPA in 2023. 
Bosch, Microsoft, and Amazon are some of Bangalore Institute of Technology's top employers.
Alumni: 
Bangalore Institute of Technology is home to a number of famous people like Chethana Kumari (Data Scientist at UN, Copenhagen Denmark), Dr Gopalan Jagadeesh (Professor, Aerodynamics, IISc Bengaluru),) and many more.
If you're seeking a quality education, strong career prospects, and a supportive academic environment, consider Bangalore Institute of Technology as your choice."
183,Bangalore Institute of Technology - [BIT],Which is better for CSE: the RNSIT or the Bangalore Institute of Technology?,"When compared to other colleges in Karnataka, BIT placements are much better. One of my friends completed his BE in Civil Engineering (2016) and got placed in Brigade.
Placements: 
The institute witnessed 50% placements in 2019 and received companies like Larsen and Toubro, Gammon, Wipro, and Accenture. A couple of construction companies visit for the placement process as well. 
Around 15-20 students get placed with core companies. Other branches do have a much better placement rate. For instance, it was 100% for CSE, ISE, and ECE branches.
However, Civil Engineering has more scope off-campus. Govt. sectors offer the highest number of jobs to Civil Engineering students. 
Civil engineering students may have to start with a lower CTC than other branches but there are no saturation points.
The placement statistics for Civil Engineering in recent years at BIT are as follows.
Average CTC
6.5 LPA
Median CTC
4 LPA

  The trend is in the favour of Civil Engineers and there's a huge demand for CE in the industry, which was not so a decade ago. So, if you are genuinely interested in Civil then you should go for it."
184,Poornima University - [PU],What is your review of Poornima University?,"It is a decent university. Poornima University ranking is 104 for overall by Indiatoday 2020. At the university, you will get decent exposure. You will get educated according to the recent industry trends. Different departments conduct seminars and workshops regularly. It also has a great infrastructure. The huge campus includes sports grounds, a solar plant, an observatory, etc."
185,Sikkim Manipal University - [SMU],Is it worth to do a distance MBA from Sikkim Manipal University?,"I have a few friends from Sikkim Manipal University and according to them, it is not a great place for innovative ideas and opportunities. It is a good option if you just want a degree. Here are some of the perks of joining the institute. 
There are over 15 clubs at SMIT. The club culture is quite good at the institute. If you want you can start your own club too. 
It has a great geographic landscape. There are awesome places that you can visit.
It helps in the all-round development of students. 
Overall SMIT is not a bad option for distance learning."
186,Monad University,No data found,No data found
187,Graphic Era University - [GEU],What is your review of Graphic Era University?,"Here is a brief review of Graphic Era University. 
The college infrastructure is average. The sports facilities are not good.
The faculties have good educational backgrounds. But most of the faculty members don’t put in the required effort.
The hostel accommodation is decent. The food offered at the mess is decent.
The CS department has good placement records. Around 80% of students get placed from this branch. The average CTC offered at the institute is INR 5 LPA. But for other branches, placement chances are less than 20%.
Graphic Era charges huge fees. A BTech degree costs around INR INR 13.32 Lakhs.
Overall, Graphic Era University is average at best."
187,Graphic Era University - [GEU],"Which University is better, the Graphic Era University(GEU) or the Graphic Era Hill University(GEHU)?","Graphic Era University is one of the best technological institute in the region. It offers excellent education and facilities. The university has received NAAC A grade. The curriculum of the university is well-designed as per the industry trends. 
The university boasts of an excellent placement record. During Graphic Era placement 2021, students received an average CTC of INR 5.38 LPA. While the highest CTC offered was INR 54.80 LPA. Adobe, Teradata, Zscaler are some of the major recruiters for the institute."
187,Graphic Era University - [GEU],Is graphic era university Dehradun a good university?,"Among the given choices, Graphic Era will be a better option, for a BSc course.
The Graphic Era University has been around for more than 25 years. I have a few friends from the University and according to them, the faculties are well qualified and quite cooperative. You will also get good international exposure there. You can think about pursuing the following courses at this college.
BSc (H) Food technology
BSc (H) Microbiology
BSc (H) Biotechnology
BSc (H) Maths, Physics
Let me assure you that this college has some of the best labs and overall, the teachers are also really good. This really makes a difference when it comes to higher education."
188,Chandigarh Group of Colleges - [CGC] Landran,Which campus of CGC is better and why? Landran or Jhanjeri?,"Both the campus has their own merits and demerits. Go through the following points to find out.
Hostels: Jhanjheri campus has hostel rooms more spacious and has better bedding accessories than Landran. Overall Jhanjheri hostels have better bathrooms, gym, common room, food, mess facilities than Landran.
Festivals: Festivals are better at Jhanjheri and many celebs come to the campus to perform.
Faculty: As Jhanjheri is the new campus, most of the good faculties go to Jhanjheri.
Placements: Placement companies come to Landran but that’s not an issue as it is a joint placement drive and Jhanjheri students participate in it as well.
Transportation: Jhajhri campus is 7km away from Landran, and you won’t get a bus to Chandigarh or any nearby cities for the campus. You have to take an auto from Jhanjheri to Landran or Kharar.
Small Campus: The Jhanjheri campus is smaller than Landran but it offers better facilities.
Less Crowded: Jhanjheri campus is less crowded. It can be a good thing or a bad thing based on how you perceive it.
These are the basic difference between the two campuses. Now, it’s up to you to choose which is better for you."
188,Chandigarh Group of Colleges - [CGC] Landran,How is CGC Landran?,"CGC Landran is a decent technological institute. It is especially good for branches such as CSE or IT. The placement opportunities offered are excellent for these streams. Companies such as Amazon, Google, IBM, Dell, Infosys, Cognizant, etc. take part in CGC Landran placements. During placements 2022, the highest CTC offered in the campus drive was INR INR 45.50 LPA."
