Serial No.,College Name,Info Data
275,Karpagam College of Engineering - [KCE],"Karpagam College of Engineering, Coimbatore in Tamil Nadu has been a promising autonomous institution since its establishment in 2000. The institute is affiliated to Anna University approved by AICTE and is also accredited by NAAC with ‘A’ grade and NBA."
276,KIET Group of Institutions - [KIET],"Krishna Institute of Engineering and Technology Ghaziabad, popularly known as KIET Ghaziabad is a private institution approved by the AICTE and affiliated to Dr. APJ Abdul Kalam Technical University (AKTU), Lucknow. Established in 1998, it is recognized by the NBA and SIRO, and is accredited with an 'A+' grade by NAAC. Recently, the students of KIET Ghaziabad grabbed the 9th place on the World Stage and the 'Crash and Burn Award' at the NASA Human Exploration Rover Challenge 2024."
277,PES College of Engineering - [PESCOE],
278,Raghu Engineering College - [REC],"Raghu Engineering College - [REC], located in Visakhapatnam is a private institute established in the year 2001. REC received autonomous status by UGC and is affiliated with the Jawaharlal Nehru Technological University. REC is approved by AICTE and accredited by NAAC by ‘A’ grade and NBA. The college is known for its UG and PG courses in engineering stream. The campus is situated about 35 km away from Visakhapatnam and 15 km. away from Vizianagaram border on national highway 43."
279,Symbiosis Institute of Technology - [SIT],"Symbiosis Institute of Technology is a part of Symbiosis International University and was established in 2008. Institute currently offers B. Tech programs in Civil Engineering, Computer Science and Engineering, Electronics & Telecommunication Engineering, Mechanical Engineering, Artificial Intelligence & Machine Learning and Robotics & Automation, and M.Tech programs in Artificial Intelligence & Machine Learning, Robotics & Automation and Embedded Systems. In 2010, the Institute introduced Ph. D. Degree in the Faculty of Engineering."
280,Terna Engineering College Navi Mumbai,"Terna Engineering College (TEC), Navi Mumbai, established in 1991, is a private institute affiliated to University of Mumbai. It is approved and accredited by AICTE, DTE, NBA and FRA. The college offers undergraduate, postgraduate and research level programs in the discipline of Engineering. Admission in the TEC is done on the basis of the performance of the candidates in the entrance exam."
281,Vivekanand Education Society Institute of Technology - [VESIT],"Vivekanand Education Society’s Institute of Technology (VESIT) is a private institute established in 1984. It is located at Chembur, Mumbai. The Institute offers specializations in Engineering courses at UG and PG levels. The Institute also offers a Ph.D. course in Engineering. It is approved by AICTE and affiliated to the University of Mumbai. VESIT was selected as one of “India’s 10 Best Institutes for Higher Education 2019” by The Excelligent. Admissions at Vivekanand Education Society’s Institute of Technology is sought through entrance exams for all the courses. V.E.S consists of a total of 26 institutes."
282,Sreenidhi Institute of Science and Technology - [SNIST],"Sreenidhi Institute of Science and Technology Hyderabad was founded in 1997 under the direction of its chairman, Dr. K.T. Mahhe. SNIST Hyderabad is affiliated to JNTU. The college offers more than 20 courses in the fields of science, engineering, and management. The college has been ranked 73 out of 246 in India in The Week 2023 Rank."
283,Paavai Engineering College (Autonomous),"Paavai Engineering College is an autonomous institute established in the year 2001 Namakkal, Tamil Nadu. It is approved by AICTE and affiliated to Anna University. The college has been accredited by NBA & NAAC with Grade A. It is ranked 212 for B.Tech by India Today ranking 2022. The college offers B.E./B.Tech at the UG level, ME, MBA, MCA at the PG level, and Ph.D. at the doctoral level. A good number of students are placed every year in reputed organizations."
284,Assam Don Bosco University - [ADBU],"Assam Don Bosco University (ADBU), is a State Private University established in 2008 in Guwahati, Assam. The university was founded by the Salesians of Don Bosco and holds the approvals from UGC and AICTE. It is the only private university in Assam accredited by NAAC with an “A” grade. Assam Don Bosco University is a member of AIU, IAU, and ACU. The university has established 100 Salesian Technical Schools and 25 colleges in India. It has three campuses: the Tapesia campus, the Azara campus, and the Kharguli campus. offers Bachelor's, Master’s, Doctoral, Diploma and Distance Education Degree courses in"
285,RK University - [RKU],"RK University was established in 2009. RKU is located in Rajkot, Gujarat. It is affiliated to Gujarat Technological University (GTU). RKU is approved by AICTE.  RKU is recognized by the University Grants Commission. RKU aims to be a leading institution in imparting education to help students become responsible world citizens who are sensitive to the needs of others in their society. RKU is a member of the Association of Indian Universities (AIU).
RKU offers programs ranging from diploma, undergraduate, postgraduate, and doctoral programs in the domains of Management, Computer Applications, Engineering, Pharmacy, Physiotherapy and Science. to these courses are conducted every year."
286,Baddi University of Emerging Sciences and Technologies - [BUEST],"Baddi University of Emerging Sciences and Technologies (BUEST), commonly known as Baddi University was established in 2002 and recognized as a university in 2009. Spread over 40 acres of land, the institute has built up an impressive structure for academics with project-based learning and excellent placements. Admission to professional courses in the university is entirely based on Merit. The merit list is prepared by analyzing the marks scored by candidates in the entrance examination conducted by the University. The University conducts entrance examinations in both offline and online mode. It offers various courses in fields such as engineering, management, nursing, etc."
287,Sai Nath University,"Sai Nath University, Ranchi has been established and incorporated by Jharkhand State Legislature through its official Gazette and recognized as per section 2(f) of UGC Act, 1956. The university offers Undergraduate, Postgraduate, and Diploma courses in different disciplines like Engineering, Education, Physical Education, Pharmacy, Law, Social Science, Travel 6 Tourism, Hospitality, Allied Health, Management, Communication, Jewellery Management etc. rolled out in phases. Admission to these courses is purely based on merit. The institute provides scholarship on a reguarly basis to students who belong to economically weaker section"
288,GITAM,"GITAM Bangalore, established in 2012 is a well known private institution that offers undergraduate, postgraduate and doctoral degrees in the discipline of Engineering and Management. The institute offers a modern infrastructure supported by dedicated faculty and administrative staff.  Apart from GITAM Bangalore, GITAM has other campus i.e. GITAM Visakhapatnam and GITAM Hyderabad."
289,Yenepoya University,"Yenepoya University Bangalore is a deemed-to-be university accredited by NAAC A+ grade. The University has ranked 85 among the Top 100 University in the country. Further, Yenepoya University is listed in 301-400 band on “Times Higher Education (THE)” global Impact ranking and also received Band A in ARIIA under Self financed/ Private Institutions category. The University is recognised by UGC and rated 3 star by ICARE rating in the category of YOUNG University. As per NIRF 2023, the University is ranked 85th among the top 100 universities in the country."
290,DAV University,"DAV University, Jalandhar was established in 2013. It is promoted by India’s oldest and single largest nongovernmental educational organization managing 816 institutions in the country. DAV University is duly recognized by the University Grants Commission (UGC). DAV is proud of its more than 40,00,000+ Alumni across the world."
291,Pacific University,"Pacific University, established in 2010, is a Private University in Udaipur, Rajasthan. The university offers various courses in the fields of Engineering, Management, Dentistry, Pharmacy, Computer Application, Hotel Management, Fire & Safety Management, etc. Admission to these courses is either merit-based or entrance based. Graduates from Pacific University get placed in reputed companies such as NIIT, Collabera, Chai Point, IDBI Federal, Kotak Mahindra Bank, Atlas, WPW, Omnichrome, etc. with the highest salary package up to 12 LPA."
292,ICFAI University,"ICFAI University was established in 2003 and is recognized by UGC, NCTE, BCI, and AIU. It is also approved by AICTE and accredited by NAAC. The University offers undergraduate, postgraduate, doctoral as well as distance courses in various specializations. Admission in all the courses is based on merit in qualifying examination and interview. Interested candidates can apply to this University online or offline."
293,KCG College of Technology,"KCG College of Technology is a Christian Minority Institution, which was founded by Dr. KCG Verghese. It offers 13 undergraduate and 5 post-graduate programs. The Institution has been granted the Autonomous status and is affiliated under Anna University. KCG College of Technology has been ranked in the band 11-50 among Top Higher Education Institutions in India by NIRF-Innovation 2023."
294,Silicon Institute of Technology - [SIT],"Silicon Institute of Technology (SIT), Sambalpur is a private institution approved by the All India Council for Technical Education (AICTE)and affiliated to Biju Patnaik University of Technology, Odisha.The institute offers undergraduate programs in Engineering. Admission to the SIT Sambalpur is provided on the basis marks secured in the entrance examination like JEE Main and OJEE. The admission is done through the counselling process conducted by the Government of Odisha. To know more, click here"
295,Birla Institute of Technology - [BIT],"Birla Institute of Technology, Patna, also referred to as BIT Patna, is an extension of BIT, Mesra campus. It offers 4 UG courses in a total of 10 specializations: B.Tech, BBA, BCA, and B.Arch. There are also MBA and M.Tech as PG courses, and 9 specializations in Ph.D. Admissions to the BBA and BCA courses are merit-based, while admissions to all other courses are entrance based. The top recruiters of the college include Accenture, Infosys, Tech Mahindra, etc."
296,Birla Global University - [BGU],"Birla Global University (BGU), Bhubaneswar offers various courses such as M.Sc, M.Com, B.Com, BBA, BBA LLB, and many more such courses in art, literature, culture, science, and management fields. The University intakes are based on past educational records and qualifying entrance examination results conducted at national and university levels."
297,GITAM,"Gandhi Institute of Technology and Management (GITAM), Hyderabad is one of the best Deemed-to-be University established in 2009. It has been accredited by NAAC with ‘A++’ grade. GITAM University is ranked 67th in NIRF-2021 University Rankings."
298,Medi-Caps University,
299,GNA University,
300,Mahindra University,"Mahindra University, Hyderabad is among the well-known international technology schools that marks the venture of the USD 20.7 billion Mahindra Group into the higher education sector. MEC Hyderabad was established in 2014 on collaboration with École Centrale Paris (now CentraleSupélec) and JNTU Hyderabad. MEC falls under Mahindra Educational Institutions which is a wholly-owned subsidiary of Mahindra Group’s IT venture, Tech Mahindra. École Centrale Paris (now CentraleSupélec) is one of the oldest and most prestigious engineering institutions in France."
301,The Neotia University - [TNU],"The Neotia University (TNU), Kolkata is a private institute established in 2015. It is awarded as the 'Symbol of Excellence in Education and Skilling India's Future by The Economic Times, Best Education Brands, and was also awarded as the 'Best Emerging Private University in India' in a well-organized spectacular function by Praxis Media Private Limited in association with Education Connect. TNU is the First Private University in West Bengal gets ICAR Accreditation for B.Sc. (Hons.) Agriculture Program of School of Agriculture & Allied Sciences making it the first private university in West Bengal to receive this esteemed recognition."
302,Starex University,"Starex University is a private university established in 2016 under the Private University Act 2006. The university is located in Gurugram, Haryana and is recognized by the UGC and affiliated to the Pharmacy Council of India and the Bar Council of India. Starex University has partnerships with the Ministry of Micro, Small, and Medium Enterprises (MSME). There are a total of 16 departments at Starex University, covering a range of academic specialties."
303,Institute of Engineering and Science - [IES],"Institute of Engineering and Science, Indore was established in 1999. The institute is approved by All India Council for Technical Education (AICTE), New Delhi and Government of Madhya Pradesh. The institute is a leading Institution devoted to imparting quality Engineering education. The institute endeavor to provide education to students and supported by huge infrastructure, modern amenties, competent faculty and latest pedagogy that leads to multifaceted development of their innate talent, intellectual and physical capabilities and overall personality and imbibes into them cultural and national spirit thus making them responsible global citizen and conscientious human beings."
304,GIFT Autonomous,"GIFT Autonomous, Bhubaneswar established by the Balaram Panda Trust in the year 2007 is located at the outskirts of Bhubaneswar, and is well connected by Rail, Road and Air. The Institute is approved by AICTE, New Delhi, and accredited by NAAC with Grade ‘A++’. The departments like CSE, ECE, MECH & EEE of the institute are accredited by NBA."
305,Parul University,"Parul University is a private university established in the year 2015 in Vadodara, Gujarat. It is among the top 2% of universities in India having a NAAC A++ grade. Parul University offers 200+ Diploma, Undergraduate and Postgraduate programs. The university is ranked among the “Top 50” universities by NIRF Innovation Rankings 2023 and at the 53rd position in Pharmacy by NIRF 2023. The university has also been ranked among the “Top 75” Business Administration Institutes and “Top 100” Engineering Institutes of India by the Times of India. The university has achieved a among top pharmacy colleges by GSIRF, Government of Gujarat."
306,Dr. C.V. Raman University - [CVRU],"Dr. C.V. Raman University (CVRU) is a premier world-class University in Chhattisgarh located in the serenity area of Bilaspur city, and most importantly, in Central India as the Research and Education hub of Professional Courses. The university functions under the AISECT Group of Universities (AGU). CVRU Bilaspur offers undergraduate, postgraduate and doctoral courses in diverse fields like Management, Arts, Science, Law, Naturopathy and many more. Admission to CVRU Bilaspur is done on the basis of merit and CAT/ XAT/ MAT/ GATE/ CVRU CET scores. Apart from regular programs, the university also offers  in the discipline of Management, Social Work, Information Technology, Commerce, etc. Admission to CVRU IODE Bilaspur is done on the basis of merit."
307,Jigyasa University (Formerly Himgiri Zee University),"Jigyasa University (Formerly Himgiri Zee University) into existence in 2003 with the motive of preparing trained human resources for the industry in several sectors like social, educational, scientific, technical, and professional organizations for social and economic development. Jigyasa University (formerly Himgiri Zee University), Dehradun has been established by the Essel Group under The Uttarakhand Private Universities (Amendment) Act, 2024 (Uttarakhand Act No. 05 , 2024), recognized by UGC Under Section 2(f) of 1956 Act and Member of Association of Indian Universities. Further, School of legal studies is approved by the , School of Pharmaceutical Sciences is approved by the and B.Ed. Program is approved by the"
308,Jagran Lakecity University - [JLU],"Jagran Lakecity University (JLU) is designed as a practice-based and research-driven institute that pioneers internationally benchmarked liberal education in central India. It is one of the fastest-growing and one of the most awarded universities of central India. JLU Bhopal is committed to providing a robust multidisciplinary learning environment that effectively steers the intellectual curiosity of each individual and molds them into efficient professionals and visionary leaders of tomorrow. The university is in membership with AUAP, International Association of Law Schools."
309,ACS College of Engineering - [ACSCE],"ACS College of Engineering in Bangalore is established in the year 2009, affiliated to Visvesvaraya Technological University, Belagavi and also approved by All India Council of Technical Education, New Delhi. The institute offers a wide range of courses in the field of Engineering including new courses like Aeronautical Engineering and Bio-Medical Engineering."
310,Adhiyamaan College of Engineering,"Adhiyamaan College of Engineering, Hosur, Tamil Nadu is a private institute established in the year 1987-1988. The institute is affiliated to Anna University Chennai and offers UG and PG courses such as BE/B. Tech, B.Arch, ME/M.Tech, MBA, and MCA. The institute has excellent infrastructure spread over 250 acres of land and is NAAC B++ accredited. The institute offers courses in different streams such as Engineering, IT and Software, Business and Management, and Architecture and Planning."
311,Ajay Kumar Garg Engineering College - [AKGEC],"Ajay Kumar Garg College Engineering popularly known as AKGEC, was established in 1998 in Ghaziabad, Uttar Pradesh. The institute is affiliated to Dr. A.P.J. Abdul Kalam Technical University, Lucknow, and is approved by the All India Council for Technical Education. AKGEC is the only Engineering college to be awarded A++ by NAAC."
312,Atria Institute of Technology,"Atria Institute of Technology, founded in 2000, is one of the leading private engineering colleges in Karnataka. It is affiliated with Visvesvaraya Technological University (VTU). The college has a campus of 17.5 acres in the heart of Bangalore city. The college offers 12 courses in engineering, management, and computer applications. Atria Institute of Technology has been ranked among the top 100 engineering colleges in India by NIRF 2023. The most popular course at Atria Institute of Technology is BE, for which students can apply through or COMEDK exams."
313,Bhubaneswar Engineering College - [BEC],"Bhubaneswar Engineering College is and affiliation of the Biju Patnaik University of Technology Orissa offering 14 courses across 2 streams namely Engineering, Management, and across 4 degrees like B.Tech, M.Tech, MBA, and Diploma. The admission criteria are based on merits obtained by the students in the national level entrance examination such as OJEE, CAT, MAT, etc. The applicants applying for admission need to register themselves online through the official website after appearing in the prescribed examination."
314,College of Engineering Bhubaneswar - [COEB],"College of Engineering, Bhubaneswar Faculty of Engineering and Technology of Koustuv Group of Institutions (KGI) has been offering technical education since 1999. The institute is located in the eastern region of India, at the heart of the capital city of Bhubaneswar, OdishaCOEB is approved by the All-India Council for Technical Education (AICTE), New Delhi, Government of India and affiliated to Biju Patnaik University of Technology (BPUT Rourkela), Government of Odisha, and accredited by the National Assessment and Accreditation Council (NAAC). The institute has achieved ISO-9001: 2008 Award by CARE Certification Private Limited in the year 2014."
315,Guru Tegh Bahadur Institute of Technology - [GTBIT],"Guru Tegh Bahadur Institute of Technology (GTBIT) was founded in 1999 by the Delhi Sikh Gurdwara Management Committee (DSGMC), which manages a number of educational institutions. GTBIT is a degree-level technical institute accredited by AICTE and affiliated with Guru Gobind Singh Indraprastha University in Delhi. The University Grant Commission of India has recognized it following the UGC Act section 12B. Additionally, it holds an ""A Grade"" NAAC accreditation. With a large campus, GTBIT is situated in the heart of Rajouri Garden, New Delhi with amenities including laboratories housed in five large buildings."
316,Krishna Engineering College - [KEC],"Krishna Engineering College or KEC is a leading technical education college in Ghaziabad, Uttar Pradesh. The college is approved by the All India Council of Technical Education (AICTE) and is affiliated with Dr. APJ Abdul Kalam Technical University, Lucknow. Krishna Engineering College was founded in 2004 and offers 5 UG courses and 1 PG course in full-time mode."
317,Meerut Institute of Engineering and Technology - [MIET],"Meerut Institute of Engineering and Technology (MIET) was founded in 1997 and is managed by the Meerut, Uttar Pradesh-based City Educational & Social Welfare Society. MIET college is accredited by the All India Council for Technical Education, Ministry of Human Resource Development, Government of India, New Delhi, and is affiliated with Dr. APJ Abdul Kalam University- AKTU (previously Uttar Pradesh Technical University."
318,RNS Institute of Technology - [RNSIT],"RNS Institute of Technology (RNSIT), situated in Bangalore in Karnataka was established in 2001. The institute is AICTE approved, NBA accredited and affiliated to Visvesvaraya Technological University. RNSIT, Bangalore delivers quality education in Engineering, Technology and Management with a difference. RNSIT is among the top 10 engineering colleges in Karnataka. The most popular courses of the institute include BE across 10 specializations. Apart from that, RNSIT offers an MBA in 7 specializations along with an MCA course. Candidates need to obtain a valid score in KCET/ / JEE Mains to take admission in the BE course. For enrollment in MBA and MCA, PGCET scores are mandatory. Lateral admission option for BE is also available."
319,Raj Kumar Goel Institute of Technology - [RKGIT],"Raj Kumar Goel Institute of Technology popularly known as RKGIT , was founded in the year 2000 in Ghaziabad, Uttar Pradesh. It is one of the finest and  prestigious technical institutes in India. RKGIT is an ISO Certified private engineering college affiliated with Dr. APJ Abdul Kalam Technical University,Lucknow (AKTU) , approved by the AICTE and is accredited by the National Board of Accreditation (NBA).the college has also established 3 Center of Excellence centers to promote research projects."
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],"Rajeev Gandhi Memorial College of Engineering and Technology, Nandyal was inaugurated in the year of 1995. The institute is approved by the AICTE New Delhi and affiliated by JNTU, Anantapur. Besides these, in 2016, UGC granted this institute as “the College with Potential for Excellence”. This college is accredited by the NBA and is graded A+ by the NAAC. All UG eligible courses offered by this institute are accredited four times by NBA and recently in the Tier-I category. It is one of the topmost engineering colleges in Andhra Pradesh. Under the category of Engineering, the NIRF ranked the college at the 251-300 band position in 2020 throughout India. The institute also has been ranked 173 in the India Today of 2020."
321,Rizvi College of Engineering - [RCOE],"Rizvi College of Engineering (RCOE) is an engineering institute situated in Mumbai, which provides engineering programs at the UG level in various fields. Established in 1998, RCOE is affiliated to the University of Mumbai and has also been accredited by the NAAC with a B+ grade. Furthermore, the institute has also been accredited by the AICTE and recognized by the DTE, Maharashtra. Admission to the B.E program is made purely based on merit and depends on the candidate's JEE-MAINS or MHTCET score. The application procedure is conducted online as per the CAP procedure, and the college also provides reservation seats to Muslim candidates."
322,S.A. Engineering College,"S.A. Engineering College, Chennai, Tamil Nadu was established in the year 1998-99 by the Dharma Naidu Educational and Charitable Trust. The college is an autonomous institute. The college is accredited by NBA and NAAC with an 'A' grade and is affiliated to Anna University."
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],"Sir M Visvesvaraya Institute of Technology is a reputed institute in Karnataka established by Sri Krishnadevaraya Educational Trust in 1986. The Institute is affiliated to Visvesvaraya Technological University and approved by All India Council for Technical Education, New Delhi and is accredited by National Board of Accreditation, New Delhi (CV, ME, EEE, BT, CSE, ISE) and NAAC accredited A grade. It is also ISO and SIRO Certified."
324,St Martin's Engineering College - [SMEC],"St. Martins Engineering College, Hyderabad is a prestigious Autonomous engineering college, established in 2002. St. Martin’s Engineering College offers B.Tech and M.Tech courses in a number of specializations. The B.Tech course takes in 1080 new students while the M.Tech course accepts 18 new students totally across all specializations. The undergraduate courses span over 4 years whereas the course duration for postgraduate courses is 2 years. Check: SMEC Admission"
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]","Swami Keshvanand Institute of Technology, Management, and Gramothan [SKIT Jaipur] is in Pink City, Jaipur, and it was established in 2000. SKIT Jaipur is accredited with a grade of A+ by NAAC and approved by the All India Council for Technical Education (AICTE), New Delhi, and the Govt. of Rajasthan. The institute was awarded rank no. 1 by Rajasthan Technical University, Kota, in 2023."
326,Arka Jain University,"Arka Jain University, Jamshedpur is a private university that was established in the year 2017 by the Jharkhand State Legislature under “The ARKA JAIN University Act” and is recognized by UGC. It is the first state private university in the Kolhan region (comprising of three districts) of the state. The university is affiliated and recognised by AICTE, BCI, PCI, OCI, INC, JNRC, AIU, ASCO. The University is now the first NAAC Grade “A” private state university in Bihar, Jharkhand & west Bengal. It is an ISO 21001:2018 Certified “Educational Organization Management System” University and a member of ."
327,Maharishi Markandeshwar - [MMU],"Maharishi Markandeshwar University, Solan (MMU Solan) is a private university that was established in the year 2010. MMU offers a total of 37 UG and PG courses across 4 different branches like School of Computer Technology, Medicine & Health Sciences, School of Business Management and Engineering & Technology. The admission is based on both merit and entrance exams such as NEET-UG, NEET-PG, JEE Main, GATE. For MBA and PGDM courses, a qualifying MAT exam is necessary. It offers both (online and offline) modes of admission when the admission session begins."
328,Nitte University - [NITTE],"Nitte University, Mangalore, Karnataka was awarded the Deemed to be University status in 2008. It has a group of Institutions established by the Nitte Education Trust. The Trust was established by one of India’s respected Statesman, the Late Justice KS Hegde, Supreme Court Judge and Speaker of Lok Sabha, to empower rural youth through quality education and healthcare. The Trust has established 36 institutions spread in three campuses at Nitte, Mangalore and Bangalore."
329,MIT Academy of Engineering - [MITAOE],MIT Academy of Engineering (MITAOE) commonly known as MIT Alandi was established in 1999. It is approved by UGC and affiliated with SPPU. MIT Alandi is also accredited by NAAC “A” grade and NBA.
330,Vivekananda Global University - [VGU],"Vivekananda Global University (VGU), Jaipur is a leading private university in Rajasthan that has been awarded “ Excellence in Teaching Methodology” (University category) by 94.3 MY FM at MYFM’s Education ICON Award 2019 and certified as a “Global League Institute” 2019-20. VGU offers various. VGU has been accredited by National Assessment and Accreditation Council (NAAC) with ‘A+’ Grade. UG, PG, Research, and Diplomas in the stream of Engineering, Management, Law, Hotel Management, Pharmacy, and many more. Admissions are based on merit and entrance tests. The university conducts National Level Exam VGUCET for admission to its various UG, PG, and Diploma programs and provides scholarships across 75+ courses."
331,Shri Ramswaroop Memorial University - [SRMU],"Shri Ramswaroop Memorial University (SRMU), Lucknow was established by Uttar Pradesh State Government and approved by AICTE, UGC, PCI, BCI, COA, NCTE and AIU Membership. The University has been accredited by NAAC B+ grade. Shri Ramswaroop Memorial University has been awarded the Best Innovative University by Assocham and ranked 7th in India amongst top emerging B Schools by OMS – TIMES B-School Survey."
332,Amity University,"Amity University Ranchi is a State Private University established by Act (No.13 of 2016) of State Legislature of Jharkhand. The university is a constant member in the list of India’s top 50 universities issued by NIRF. The university is approved by UGC. Amity University Ranchi is one more campus in Amity’s ever-expanding network of globally benchmarked institutions that include 9 Universities, 25 schools & preschools and campuses in 10 countries."
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,"Chandigarh Group of Colleges also known as CGC Jhanjeri is one of India's leading institutions that was established in the year 2012. CGC Jhanjeri has been awarded the prestigious NAAC A+ accreditation by the National Assessment and Accreditation Council (NAAC) in the first cycle with a CGPA of 3.46/4.0. CGC Jhanjeri has been awarded the Iconic College of the Year 2023. With partnerships with more than 40 prestigious international schools and universities across 15 countries, CGC Jhanjeri is the model of robust international collaborations."
334,PSG Institute of Technology and Applied Research - [PSG iTech],"PSG Institute of Technology and Applied Research (PSG iTech),is one of the most preferred institutes among engineering aspirants in Tamil Nadu. At present, the institute offers Undergraduate level programs in Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering and Mechanical Engineering. Last year, a total of 287 students were enrolled out of which 113 were females."
335,XIM University,
336,Swami Vivekanand University,"Swami Vivekananda University is a private university, located at Sagar in Madhya Pradesh. Established in 1994, SVU is UGC and AICTE-approved for its excellent infrastructure and the quality of education. SVU is the home for various undergraduate and postgraduate courses across a massive 12-acre campus."
337,Mahaveer Institute of Engineering & Technology - [MIET],"Mahaveer Institute of Engineering and Technology Meerut was founded in 1997. The MIET Meerut is approved by AICTE and is affiliated with APJ Abdul Kalam Technical University, Lucknow. The Mahaveer Institute of Engineering and Technology, Meerut offers hundreds of courses in Engineering, management, Pharmaceutical Science, and commerce such as B.Tech/M. Tech, MBA, B.Com, etc.. Admission into Mahaveer Institute of Engineering and Technology, Meerut is offered on the scores Jee Mains and CUET-UG and CUET-PG. The counseling for various programs such as B.Tech is done by the AKTU."
338,Anant National University - [AnantU],"Anant National University is a private institute located in Ahmedabad, Gujarat that offers various courses of design and architecture with unique specialization at undergraduate and postgraduate levels. This college is known for being the first university for design in the country. It offers B.Arch and B.Des, programs at UG level and M.Des. program at PG level. Apart from this, some fellowship programs are also offered to the students. Admissions to UG and PG courses are entrance-based, As for fellowship courses, admissions will be merit-based followed by personal interviews."
339,Atmiya University,"Atmiya University, established in 2018, is spread over 23.5 acres land in divine surroundings. His Divine Holiness Hariprasad Swamiji Maharaj, the present spiritual successor of Lord Swaminarayan is the mentor of ATMIYA University. Atmiya university is one among the six institutions in India to sign a MoU with University of Miyazaki. Atmiya university has been applauded and ranked by Statutory and Regulatory Bodies like UGC, DBT, DST, LSC, Knowledge Consortium of Gujarat, NAAC, NIRF, amongst others, from time to time."
340,Acropolis Group of Institutions,"Acropolis group of institutions was established in the year 2005 in Madhya Pradesh, Indore. it is approved by AICTE. It offers courses in multiple fields and distinct specialisations such as B.Tech, B.Sc, BA, BBA, B.Pharm, BA, B.Com, M.Pharm, D.Pharm, M.Sc, M.Tech, M.Com and diploma courses among others."
341,Echelon Institute of Technology,"Echelon institute of Technology, Faridabad, established in 2007, is one of the oldest technical institutions in NCR. The institute is affiliated to JC Bose University of Science & Technology, YMCA, Faridabad and Shri Vishwakarma Skill University, Palwal. Echelon institute of Technology is approved by AICTE, Ministry of HRD, Government of India. At present, the institute is offering UG (B.Tech, BBA, BCA, B.Voc, D.Voc) and PG (M.Tech, MBA, MCA) programs. In addition, various programs like life skills training program, personality development program, employability enhancement program, industrial training program etc are also offered by EIT. Recently, the institute also launched a minor degree program which allows the students to pursue an additional field alongside their major degree."
342,AISSMS College of Engineering - [AISSMSCOE],"All India Shri Shivaji Memorial Society College of Engineering (AISSMS COE), was established in the year 1992 and is approved by AICTE, Delhi. The institution is founded by Chhatrapati Shri Shahu Maharaj of Kolhapur and is recognized under section 2(f) and 12(B) by UGC. It is recognized by the Government of Maharashtra and affiliated to the Savitribai Phule Pune University (SPPU), Pune. It is the first Institute to be accredited with A+ grade by NAAC (3.27 CGPA) in the first cycle. The College within a short span has established itself as one of the best Engineering Colleges in Maharashtra and also in India."
343,Amal Jyothi College of Engineering - [AJCE],"Amal Jyothi College of Engineering, Kottayam established in 2001 under Diocese Educational Trust, Kanjirappally. It is affiliated to APJ Abdul Kalam Technological University (KTU), Kottayam. It is approved by All India Council for Technical Education (AICTE), New Delhi and accredited by National Board of Accreditation (NBA), New Delhi."
344,Bengal Institute of Technology - [BIT],"Bengal Institute of Technology is a private technical institute considered among Top Engineering Colleges in West Bengal. The institute is popularly known for its BTech program offered in 4 specializations. The admissions to the course are granted on the basis of candidate’s merit in WBJEE. Candidates applying must also have passed 10+2 from a recognized institute with Physics and Mathematics as compulsory subjects and 45% aggregate marks. Know More: Bengal Institute of Technology, Kolkata Courses & Fees"
345,Bhagwan Parshuram Institute of Technology - [BPIT],"Bhagwan Parshuram Institute of Technology was established in 2007. BPIT, an 'A' grade institute of GGSIPU, offers Bachelor of Technology (B.Tech) and Master of Business Administration (MBA) programs that are approved by the All India Council of Technical Education (AICTE). Additionally, a three-year full-time Bachelor of Business Administration (BBA) program is also offered. The campus spans about 6 acres, and the institute provides an infrastructure with modern facilities like multimedia-equipped lecture halls, well-furnished seminar halls, well-equipped laboratories, a large conference room, and an organized girls' hostel."
346,Bhilai Institute of Technology - [BIT],"Bhilai Institute of Technology (BIT) is a Private Institute located in Durg, Chhattisgarh. The institute was established by Bhilai Institute of Technology Trust in the year 1986. BIT is affiliated to Chhattisgarh Swami Vivekananda Technical University (CSVTU) and is approved by All India Council for Technical Education (AICTE). Courses offered by the Institute are: BE, M.Tech., MCA, MBA and Ph.D. Admissions to these courses will be done on the basis of Entrance Exams – JEE Main (BE), GATE (M.Tech.), NIMCET (MCA) and MAT (MBA)."
347,Canara Engineering College - [CEC],Canara Engineering College widely known as CEC was established in the year 2001 in Mangalore. It is affiliated to Visvesvaraya Technological University. The college covers the magnificent area of 26 acres. The institute offers UG and PG courses. Selection to UG courses is based on JEE Main or KCET score. Applicants are selected for PG courses based on the GATE/PGCET score.
348,DKTE Society's Textile and Engineering Institute - [DKTE],"DKTE Society's Textile and Engineering Institute was established in 1982 and is affiliated to Shivaji University, Kolhapur. The Institute offers courses in the fields of Textiles, Engineering, Management, Computer Science, and Electronics. Courses Offered under UG domain are B.Tech. Under PG domain, it offers M.Tech and MBA. The Institute also offers PhD & Diploma programmes."
