Serial No.,College Name,Course,Fees,Eligibility,Application Date
41,Jain University - [JU],"B.Tech
23 Courses",2.1 Lakhs - 4.9 Lakhs (1st Year Fees),10+2 with 45%,31 Aug 2024
41,Jain University - [JU],"B.Sc
31 Courses",1 Lakh - 3 Lakhs (1st Year Fees),10+2,31 Aug 2024
41,Jain University - [JU],"MBA
22 Courses",9.9 Lakhs (Total Fees),Graduation with 50%,31 Aug 2024
41,Jain University - [JU],"MCA
3 Courses",2.4 Lakhs - 2.6 Lakhs (1st Year Fees),Graduation with 50%,31 Aug 2024
41,Jain University - [JU],"BBA
7 Courses",2.8 Lakhs - 3.5 Lakhs (1st Year Fees),10+2,31 Aug 2024
42,Chaitanya Bharathi Institute of Technology - [CBIT],"BE
11 Courses",1.43 Lakhs (1st Year Fees),10+2 with 50%,11 Mar - 15 Apr 2024
42,Chaitanya Bharathi Institute of Technology - [CBIT],"B.Tech
2 Courses",1.4 Lakhs (1st Year Fees),10+2 with 50%,11 Mar - 15 Apr 2024
42,Chaitanya Bharathi Institute of Technology - [CBIT],"MBA
1 Course","92,000 (1st Year Fees)",Graduation with 50%+ TSICET,7 Mar - 30 Apr 2024
42,Chaitanya Bharathi Institute of Technology - [CBIT],"M.Tech
2 Courses",1.59 Lakhs (1st Year Fees),Graduation,-
42,Chaitanya Bharathi Institute of Technology - [CBIT],"BE {Lateral}
9 Courses",1.4 Lakhs (1st Year Fees),Diploma + ECET,-
43,New Horizon College of Engineering - [NHCE],"BE
7 Courses",4.17 Lakhs (Total Fees),10+2 with 45%,10 Jan - 20 Feb 2024
43,New Horizon College of Engineering - [NHCE],"M.Tech
5 Courses",1.51 Lakhs (Total Fees),Graduation with 50%,27 May - 17 Jun 2024
43,New Horizon College of Engineering - [NHCE],"MBA
1 Course",1.28 Lakhs (Total Fees),Graduation with 60%,27 May - 17 Jun 2024
43,New Horizon College of Engineering - [NHCE],MCA,1.28 Lakhs (Total Fees),Graduation with 60%,27 May - 17 Jun 2024
44,Veermata Jijabai Technological Institute - [VJTI],"B.Tech
10 Courses","85,551 (1st Year Fees)",10+2 with 50% + MHT CET,16 Jan - 28 Jul 2024
44,Veermata Jijabai Technological Institute - [VJTI],"M.Tech
19 Courses","92,084 (1st Year Fees)",Graduation + GATE,9 July - 29 Jul 2024
44,Veermata Jijabai Technological Institute - [VJTI],"Polytechnic
5 Courses","11,225 (1st Year Fees)",10th,16 Jan - 08 Mar 2024
44,Veermata Jijabai Technological Institute - [VJTI],"B.Tech {Lateral}
9 Courses","82,850 (1st Year Fees)",10+3 with 50% + MHT CET,-
44,Veermata Jijabai Technological Institute - [VJTI],"Lateral Polytechnic
5 Courses","11,225 (1st Year Fees)",10 + 2,16 Jan - 01 Mar 2024
45,"JNTUK University College of Engineering, Kakinada","B.Tech
9 Courses","10,000 - 76,000 (1st Year Fees)",10+2 with 45% + AP EAMCET,11 Mar - 25 Jul 2024
45,"JNTUK University College of Engineering, Kakinada","M.Tech
11 Courses","30,000 (1st Year Fees)",Graduation with 50% + AP PGECET,23 Mar - 12 May 2024
45,"JNTUK University College of Engineering, Kakinada",MCA,"27,000 (1st Year Fees)",Graduation with 50% + APICET,20 Mar - 19 Apr 2024
46,"Graphic Era University, School of Engineering and Technology - [GEU]","B.Tech
14 Courses",3.23 Lakhs (1st Year Fees),10+2 with 75% + JEE Main,30 June 2024
46,"Graphic Era University, School of Engineering and Technology - [GEU]","M.Tech
5 Courses",1.42 Lakhs (1st Year Fees),Pass in Graduation + GATE,30 June 2024
46,"Graphic Era University, School of Engineering and Technology - [GEU]","B.Tech {Hons.}
7 Courses",3.23 Lakhs (1st Year Fees),-,30 June 2024
46,"Graphic Era University, School of Engineering and Technology - [GEU]","Ph.D
6 Courses","92,900 (1st Year Fees)",Post Graduation,30 June 2024
47,K. J. Somaiya College of Engineering - [KJSCE],"B.Tech
10 Courses",4.67 Lakhs - 5.08 Lakhs (1st Year Fees),10+2 with 45% + MHT-CET,1 Jan - 30 Jun 2024
47,K. J. Somaiya College of Engineering - [KJSCE],"M.Tech
9 Courses","50,000 (1st Year Fees)",Graduation + GATE,5 Apr - 30 Apr 2024
47,K. J. Somaiya College of Engineering - [KJSCE],"B.Tech {Lateral}
7 Courses",4.66 Lakhs - 5.07 Lakhs (1st Year Fees),Diploma,-
47,K. J. Somaiya College of Engineering - [KJSCE],"Ph.D
6 Courses","50,000 (1st Year Fees)",Post Graduation,-
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","B.Tech
13 Courses",1.39 Lakhs - 1.45 Lakhs (1st Year Fees),10+2 with 45% + MHTCET,16 Jan - 28 Jul 2024
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","M.Tech
8 Courses","68,500 - 1.01 Lakhs (1st Year Fees)",Graduation + GATE,9 July - 29 Jul 2024
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","MBA
1 Course",1.18 Lakhs (1st Year Fees),Graduation + MAH MBA CET,11 Jan - 27 Jul 2024
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","B.Tech {Lateral}
12 Courses",1.25 Lakhs - 1.45 Lakhs (1st Year Fees),10+3 with 45%,-
48,"GH Raisoni College of Engineering - [GHRCE], Nagpur","Polytechnic
6 Courses","67,139 (1st Year Fees)",-,-
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],"B.Tech
10 Courses",3.5 Lakhs - 4 Lakhs (1st Year Fees),10+2 with 45% + NMIMS CET,6 Dec - 20 May 2024
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],"B.Tech + MBA
4 Courses",5.02 Lakhs (1st Year Fees),10+2 with 45% + NMIMS CET,6 Dec - 20 May 2024
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],"M.Tech
2 Courses",5.52 Lakhs (1st Year Fees),Graduation,-
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],"Ph.D
9 Courses",2.5 Lakhs (1st Year Fees),Post Graduation with 55%,23 June 2024
49,Mukesh Patel School of Technology Management and Engineering - [MPSTME],MCA,3 Lakhs (1st Year Fees),Graduation,14 Dec - 02 Jun 2024
50,Sardar Patel Institute of Technology - [SPIT],"B.Tech
3 Courses",1.96 Lakhs (1st Year Fees),10+2 + MHT CET,16 Jan - 28 Jul 2024
50,Sardar Patel Institute of Technology - [SPIT],"B.Tech {Lateral}
3 Courses",1.96 Lakhs (1st Year Fees),Diploma,-
50,Sardar Patel Institute of Technology - [SPIT],"M.Tech
2 Courses",1.21 Lakhs (1st Year Fees),Graduation + GATE,9 July - 29 Jul 2024
50,Sardar Patel Institute of Technology - [SPIT],"Ph.D
4 Courses",1.08 Lakhs (1st Year Fees),Post Graduation,-
50,Sardar Patel Institute of Technology - [SPIT],MCA,1.31 Lakhs (1st Year Fees),Graduation + MAH MCA CET,6 July - 14 Jul 2024
51,"Faculty of Engineering and Technology, Jain University - [FET JU]","B.Tech
27 Courses",2.25 Lakhs - 4.95 Lakhs (1st Year Fees),10+2 with 45%,no data found
51,"Faculty of Engineering and Technology, Jain University - [FET JU]","M.Tech
13 Courses",1.75 Lakhs - 2.1 Lakhs (1st Year Fees),Graduation with 50%,no data found
51,"Faculty of Engineering and Technology, Jain University - [FET JU]","BCA
7 Courses",2 Lakhs - 2.3 Lakhs (1st Year Fees),10+2,no data found
51,"Faculty of Engineering and Technology, Jain University - [FET JU]","B.Tech {Lateral}
24 Courses",2.1 Lakhs - 4.95 Lakhs (1st Year Fees),Diploma with 45%,no data found
52,Ramdeobaba University - [RBU],"BE
13 Courses",6.09 Lakhs (Total Fees),10+2 +MHT-CET,16 Jan - 28 Jul 2024
52,Ramdeobaba University - [RBU],"MBA
1 Course",2.1 Lakhs (Total Fees),Graduation with 50% + MAH-CET,11 Jan - 27 Jul 2024
52,Ramdeobaba University - [RBU],"M.Tech
7 Courses",1.9 Lakhs - 2.43 Lakhs (Total Fees),Pass in Graduation + GATE,9 July - 29 Jul 2024
52,Ramdeobaba University - [RBU],"BE {Lateral}
12 Courses",4.17 Lakhs (Total Fees),10+3 + JEE Main,-
52,Ramdeobaba University - [RBU],"BBA + MBA
1 Course",2.33 Lakhs (Total Fees),10+2,3 June - 25 Jun 2024
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],"B.Tech
14 Courses",1.36 Lakhs - 1.38 Lakhs (1st Year Fees),10+2,3 Mar - 02 May 2024
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],"M.Tech
14 Courses",1.38 Lakhs (1st Year Fees),Graduation,-
53,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],"B.Tech {Lateral}
12 Courses","79,000 - 1.35 Lakhs (1st Year Fees)",10+2 with 45% + TSECET,-
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"B.Tech
2 Courses",1.87 Lakhs - 2.04 Lakhs (1st Year Fees),10+2 with 50% + JEE Main,10 June - 18 Jun 2024
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"M.Tech
5 Courses",1.65 Lakhs (1st Year Fees),Pass in Graduation + GATE,-
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"MBA
4 Courses",3.55 Lakhs (1st Year Fees),Graduation with 50% + CAT,-
54,National Institute of Food Technology Entrepreneurship and Management - [NIFTEM],"Ph.D
5 Courses","74,690 (1st Year Fees)",Post Graduation+NET/GATE,-
55,Sri Jayachamarajendra College of Engineering - [SJCE],"BE
9 Courses",1.16 Lakhs - 10.66 Lakhs (Total Fees),10+2,24 May - 17 Jun 2024
55,Sri Jayachamarajendra College of Engineering - [SJCE],"M.Sc
8 Courses","65,230 - 90,230 (1st Year Fees)",Graduation,-
55,Sri Jayachamarajendra College of Engineering - [SJCE],"M.Tech
13 Courses",1.51 Lakhs (Total Fees),Graduation with 50%,-
55,Sri Jayachamarajendra College of Engineering - [SJCE],"BE {Lateral}
7 Courses",1.16 Lakhs (1st Year Fees),Diploma,-
55,Sri Jayachamarajendra College of Engineering - [SJCE],"MBA
1 Course",1.28 Lakhs (Total Fees),Graduation with 50% + PGCET,27 May - 17 Jun 2024
56,Jaypee University of Information Technology - [JUIT],"B.Tech
8 Courses",2.99 Lakhs (1st Year Fees),10+2 with 60% + JEE Main,12 Feb - 15 Aug 2024
56,Jaypee University of Information Technology - [JUIT],"M.Sc
2 Courses","95,300 (1st Year Fees)",Graduation with 50%,26 Dec - 15 Aug 2024
56,Jaypee University of Information Technology - [JUIT],"M.Tech
9 Courses",1.36 Lakhs (1st Year Fees),Graduation 60%,26 Dec - 15 Aug 2024
56,Jaypee University of Information Technology - [JUIT],"B.Tech {Lateral}
7 Courses",2.41 Lakhs (1st Year Fees),Diploma,-
56,Jaypee University of Information Technology - [JUIT],"Ph.D
8 Courses","63,300 (1st Year Fees)",Post Graduation,-
57,"University Institute of Engineering, Chandigarh University - [UIE]","BE
17 Courses",1.74 Lakhs - 3.23 Lakhs (1st Year Fees),10+2 with 50%,20 Oct - 09 Jul 2024
57,"University Institute of Engineering, Chandigarh University - [UIE]","BE {Lateral}
12 Courses",2.05 Lakhs (1st Year Fees),Diploma/ B.Sc.,-
57,"University Institute of Engineering, Chandigarh University - [UIE]","ME
11 Courses",1.15 Lakhs - 1.3 Lakhs (1st Year Fees),Graduation,20 Oct - 09 Jul 2024
57,"University Institute of Engineering, Chandigarh University - [UIE]","Ph.D
5 Courses",1.58 Lakhs (1st Year Fees),Post Graduation with 55%,20 Oct - 09 Jul 2024
57,"University Institute of Engineering, Chandigarh University - [UIE]","BE {Hons.}
2 Courses",2.96 Lakhs (1st Year Fees),10+2 with 60%,20 Oct - 09 Jul 2024
58,"School of Engineering and Technology, NCU - [SOET]","B.Tech
11 Courses",2.68 Lakhs (1st Year Fees),10+2 with 50%,no data found
58,"School of Engineering and Technology, NCU - [SOET]","B.Tech {Lateral}
10 Courses",2.68 Lakhs (1st Year Fees),10+3 with 60%,no data found
58,"School of Engineering and Technology, NCU - [SOET]","BCA
2 Courses",1.34 Lakhs (1st Year Fees),10+2 with 50%,no data found
58,"School of Engineering and Technology, NCU - [SOET]","Ph.D
4 Courses","85,000 (1st Year Fees)",Post Graduation with 60%,no data found
59,Lovely Professional University - [LPU],"B.Tech
26 Courses",2.8 Lakhs - 4 Lakhs (1st Year Fees),10+2(60%) + LPUNEST or CUET,1 Aug - 15 Oct 2024
59,Lovely Professional University - [LPU],"MBA
6 Courses",4 Lakhs - 5 Lakhs (1st Year Fees),Graduation(55%) + LPUNEST/CAT,1 Aug - 15 Jan 2025
59,Lovely Professional University - [LPU],"M.Tech
11 Courses",2 Lakhs - 2.4 Lakhs (1st Year Fees),Graduation with 55%,1 Aug - 31 Aug 2024
59,Lovely Professional University - [LPU],B.Arch,2.4 Lakhs (1st Year Fees),10+2 with 50% + NATA,1 Aug - 31 Aug 2024
59,Lovely Professional University - [LPU],B.P.T,1.6 Lakhs (1st Year Fees),10+2(60%) + LPUNEST Or CUET,1 Aug - 31 Aug 2024
60,St. Joseph College Of Engineering,"BE
5 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
60,St. Joseph College Of Engineering,"B.Tech
2 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
60,St. Joseph College Of Engineering,"MBA
1 Course","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
60,St. Joseph College Of Engineering,"ME
1 Course","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
61,Saveetha Engineering College - [SEC],"BE
11 Courses",2 Lakhs (Total Fees),10 + 2 with TNEA,6 May - 11 Jun 2024
61,Saveetha Engineering College - [SEC],"B.Tech
5 Courses",2 Lakhs (Total Fees),10+2 + TNEA,6 May - 11 Jun 2024
61,Saveetha Engineering College - [SEC],"MBA
4 Courses","35,000 (Total Fees)",Graduation + MAT,10 Jan - 15 Feb 2024
61,Saveetha Engineering College - [SEC],"B.Tech {Lateral}
4 Courses",1.5 Lakhs (Total Fees),Diploma,-
61,Saveetha Engineering College - [SEC],"ME
7 Courses","50,000 (Total Fees)",Pass in Graduation + GATE,15 Apr - 14 May 2024
62,Sri Sairam Engineering College,"B.Tech
5 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
62,Sri Sairam Engineering College,"BE
9 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
62,Sri Sairam Engineering College,"MBA
5 Courses","41,000 (Total Fees)",Graduation,10 Jan - 15 Feb 2024
62,Sri Sairam Engineering College,"ME
5 Courses","60,000 (Total Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
62,Sri Sairam Engineering College,"B.Tech + M.Tech
1 Course",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
63,NMAM Institute of Technology - [NMAMIT],"B.Tech
11 Courses",1.35 Lakhs - 3.1 Lakhs (1st Year Fees),10+2 with 50%,1 Jan - 02 Jun 2024
63,NMAM Institute of Technology - [NMAMIT],"B.Tech {Lateral}
11 Courses",1 Lakh - 1.2 Lakhs (1st Year Fees),10+3,-
63,NMAM Institute of Technology - [NMAMIT],"M.Tech
6 Courses",1.51 Lakhs (Total Fees),Graduation with 50%,27 May - 17 Jun 2024
63,NMAM Institute of Technology - [NMAMIT],MCA,1.28 Lakhs (Total Fees),Graduation with 50%,1 Jan - 02 Jun 2024
64,"CVR College of Engineering, Ibrahimpatnam","B.Tech
15 Courses",1.53 Lakhs (1st Year Fees),10+2,3 Mar - 02 May 2024
64,"CVR College of Engineering, Ibrahimpatnam","M.Tech
6 Courses","88,500 (1st Year Fees)",Graduation,-
65,Yeshwantrao Chavan College of Engineering - [YCCE],"B.Tech
13 Courses",1.6 Lakhs (1st Year Fees),10+2 + MHT-CET,16 Jan - 28 Jul 2024
65,Yeshwantrao Chavan College of Engineering - [YCCE],"B.Tech {Lateral}
11 Courses",1.6 Lakhs (1st Year Fees),10+3,-
65,Yeshwantrao Chavan College of Engineering - [YCCE],"M.Tech
6 Courses",1.31 Lakhs (1st Year Fees),Graduation + GATE,9 July - 29 Jul 2024
65,Yeshwantrao Chavan College of Engineering - [YCCE],"MBA
1 Course",1.03 Lakhs (1st Year Fees),Graduation + MAHCET,11 Jan - 27 Jul 2024
66,"Institute of Technology, Nirma University","B.Tech
8 Courses",2.3 Lakhs (1st Year Fees),10+2,1 Apr - 03 Jul 2024
66,"Institute of Technology, Nirma University","M.Tech
8 Courses",2.89 Lakhs (1st Year Fees),Graduation + GATE,20 June - 01 Jul 2024
66,"Institute of Technology, Nirma University","B.Tech {Lateral}
8 Courses",2.3 Lakhs (1st Year Fees),10+2,-
66,"Institute of Technology, Nirma University","B.Tech + MBA
1 Course",2.5 Lakhs (1st Year Fees),10+2 with 60%,1 Apr - 03 Jul 2024
66,"Institute of Technology, Nirma University","Ph.D
1 Course","62,200 (1st Year Fees)",Post Graduation,-
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"BE
8 Courses","88,000 (1st Year Fees)",10+2,10 June - 21 Jun 2024
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"Polytechnic
8 Courses","30,000 (1st Year Fees)",10th,-
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"M.Sc
3 Courses","57,000 (1st Year Fees)",Graduation with 55% + SLIET,24 May - 08 Jun 2024
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"BE {Lateral}
8 Courses","88,000 (1st Year Fees)",10+3 with 55%,-
67,Sant Longowal Institute of Engineering and Technology - [SLIET],"M.Tech
8 Courses","63,000 (1st Year Fees)",Graduation with 60%,24 May - 07 Jun 2024
68,Sri Ramakrishna Engineering College - [SREC],"B.Tech
2 Courses",2.2 Lakhs (Total Fees),10+2 + TNEA,6 May - 11 Jun 2024
68,Sri Ramakrishna Engineering College - [SREC],"BE
9 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
68,Sri Ramakrishna Engineering College - [SREC],"B.Tech + M.Tech
1 Course",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
68,Sri Ramakrishna Engineering College - [SREC],"MBA
1 Course","41,000 (Total Fees)",Graduation + TANCET,10 June - 04 Jul 2024
68,Sri Ramakrishna Engineering College - [SREC],"M.Tech
1 Course","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
69,Chennai Institute of Technology - [CIT],"B.Tech
3 Courses","50,000 (1st Year Fees)",10+2 with 50%,6 May - 31 Jul 2024
69,Chennai Institute of Technology - [CIT],"BE
11 Courses","50,000 - 55,000 (1st Year Fees)",10+2 with 45%,6 May - 31 Jul 2024
69,Chennai Institute of Technology - [CIT],"BE (Lateral)
11 Courses","50,000 - 55,000 (1st Year Fees)",Diploma with 50%,-
69,Chennai Institute of Technology - [CIT],"ME
5 Courses","50,000 (1st Year Fees)",Graduation with 50%,15 Apr - 31 Jul 2024
70,Institute of Aeronautical Engineering - [IARE],"B.Tech
11 Courses",1.04 Lakhs (1st Year Fees),10+2,3 Mar - 02 May 2024
70,Institute of Aeronautical Engineering - [IARE],"M.Tech
6 Courses","67,500 (1st Year Fees)",Pass in Graduation,-
70,Institute of Aeronautical Engineering - [IARE],"B.Tech {Lateral}
13 Courses",1.01 Lakhs (1st Year Fees),10+2 with 45% + TSECET,-
70,Institute of Aeronautical Engineering - [IARE],"MBA
5 Courses","47,000 (1st Year Fees)",Graduation,7 Mar - 30 Apr 2024
71,Nitte Meenakshi Institute of Technology - [NMIT],"BE
11 Courses",2.75 Lakhs - 14 Lakhs (1st Year Fees),10+2 with 45%,25 Apr - 17 Jun 2024
71,Nitte Meenakshi Institute of Technology - [NMIT],"Polytechnic
6 Courses","50,000 (1st Year Fees)",10th with 35%,25 Apr 2024
71,Nitte Meenakshi Institute of Technology - [NMIT],"M.Tech
13 Courses",1.51 Lakhs (Total Fees),Graduation with 50%,25 Apr - 17 Jun 2024
71,Nitte Meenakshi Institute of Technology - [NMIT],"MBA
1 Course",3.5 Lakhs (1st Year Fees),Graduation with 50%,25 Apr 2024
71,Nitte Meenakshi Institute of Technology - [NMIT],MCA,3.5 Lakhs (1st Year Fees),Graduation with 50%,25 Apr - 17 Jun 2024
72,Sri Venkateswara College of Engineering - [SVCE],"B.Tech
4 Courses","88,700 (1st Year Fees)",10+2,6 May - 11 Jun 2024
72,Sri Venkateswara College of Engineering - [SVCE],"BE
8 Courses","88,700 (1st Year Fees)",10+2,6 May - 11 Jun 2024
72,Sri Venkateswara College of Engineering - [SVCE],"M.Tech
2 Courses","65,200 (1st Year Fees)",Graduation,15 Apr - 14 May 2024
72,Sri Venkateswara College of Engineering - [SVCE],"BE {Lateral}
7 Courses","80,200 - 1.5 Lakhs (1st Year Fees)",10+3,-
72,Sri Venkateswara College of Engineering - [SVCE],"ME
6 Courses","65,200 (1st Year Fees)",Graduation,15 Apr - 14 May 2024
73,Rajalakshmi Engineering College - [REC],"B.Tech
7 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
73,Rajalakshmi Engineering College - [REC],"MBA
1 Course","35,000 (1st Year Fees)",Graduation with 50% + TANCET,10 June - 04 Jul 2024
73,Rajalakshmi Engineering College - [REC],"BE
11 Courses","55,000 (1st Year Fees)",10+2 with 50% + TNEA,6 May - 11 Jun 2024
73,Rajalakshmi Engineering College - [REC],"BE {Lateral}
9 Courses","55,000 (1st Year Fees)",10+3 with 50% + TNEA,-
73,Rajalakshmi Engineering College - [REC],"M.Tech
2 Courses","50,000 (1st Year Fees)",Graduation with 50% + GATE,15 Apr - 14 May 2024
74,PES University - [PESU],"B.Tech
6 Courses",4.11 Lakhs - 5.11 Lakhs (1st Year Fees),10+2 with 45% + KCET,10 Jan - 20 Feb 2024
74,PES University - [PESU],"BCA
1 Course",2.61 Lakhs (1st Year Fees),10+2,20 Oct - 31 Jul 2024
74,PES University - [PESU],"M.Tech
5 Courses",1.81 Lakhs - 4.11 Lakhs (1st Year Fees),10+2,20 Oct - 31 Jul 2024
74,PES University - [PESU],"MBA
8 Courses",7.1 Lakhs - 7.31 Lakhs (1st Year Fees),Pass in Graduation + PESSAT,20 Oct - 31 Jul 2024
74,PES University - [PESU],"BBA
3 Courses",2.11 Lakhs - 2.51 Lakhs (1st Year Fees),10+2,20 Oct - 31 Jul 2024
75,Heritage Institute of Technology - [HIT],"B.Tech
13 Courses",1.73 Lakhs (1st Year Fees),10+2 with 45% + WBJEE/JEE Main,28 Dec - 15 Aug 2024
75,Heritage Institute of Technology - [HIT],"B.Tech {Lateral}
13 Courses",1.72 Lakhs (1st Year Fees),10+3 with 45% + JELET,-
